                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   3.86,                 5.2573,                 4.2389,                0.00048,                0.08085,                0.00034,                0.00014,                  3.662,                 5.1203,                 4.1655,             0.00054104,             0.00054104,             0.00054104
                      1,                 3.2509,                 4.5297,                 3.7581,                0.00063,                0.05739,                0.00047,                0.00015,                 3.7417,                 4.9389,                 4.2807,               0.001075,               0.001075,               0.001075
                      2,                 2.8762,                 3.9874,                 3.0922,                0.00064,                0.02166,                0.00044,                0.00022,                 3.7202,                 4.8427,                 4.3025,              0.0015869,              0.0015869,              0.0015869
                      3,                 2.7424,                 3.3293,                 2.7699,                0.06282,                0.13348,                 0.0243,                0.00666,                 2.8131,                 4.6567,                 3.2382,               0.001568,               0.001568,               0.001568
                      4,                 2.6712,                 3.0458,                 2.6599,                0.15781,                0.22952,                0.11598,                0.03692,                 2.3227,                 3.7323,                 2.5872,               0.001568,               0.001568,               0.001568
                      5,                 2.4617,                 2.6911,                 2.4712,                0.35612,                0.24687,                0.20264,                0.08032,                 2.2036,                 2.8724,                 2.4459,               0.001535,               0.001535,               0.001535
                      6,                 2.3708,                 2.5408,                 2.4315,                0.50279,                0.28187,                0.31431,                0.12674,                  2.072,                 2.5041,                 2.2742,               0.001502,               0.001502,               0.001502
                      7,                 2.2283,                 2.2812,                 2.2244,                0.53805,                0.36992,                0.35773,                 0.1581,                 1.9502,                 2.3286,                 2.1814,               0.001469,               0.001469,               0.001469
                      8,                 2.0942,                 2.1704,                 2.1981,                 0.5688,                0.44681,                0.46749,                0.22071,                 1.8998,                 1.9796,                 2.1067,               0.001436,               0.001436,               0.001436
                      9,                 2.1182,                 2.1418,                 2.2039,                 0.6108,                0.49549,                 0.5152,                0.27114,                 1.7902,                 1.8413,                 2.0216,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.9855,                  1.959,                 2.0695,                0.47671,                0.54533,                0.42841,                0.21878,                 1.8356,                 2.1953,                 2.0469,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.8957,                 1.8199,                 1.9742,                 0.7221,                 0.4865,                0.57026,                0.31012,                 1.7229,                 1.7454,                 1.9622,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.8419,                 1.8078,                  1.928,                0.64865,                0.57265,                0.55924,                0.30329,                 1.7455,                  2.056,                 1.9546,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.7424,                 1.6626,                 1.8719,                0.83182,                0.53905,                0.63761,                0.35143,                  1.677,                 1.5856,                 1.8903,              0.0012709,              0.0012709,              0.0012709
