                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8306,                 4.8701,                 4.2942,                0.00029,                0.06144,                0.00026,                0.00012,                 3.6002,                 4.8833,                 4.0841,               0.070789,              0.0032456,              0.0032456
                      1,                 3.6699,                  4.408,                 4.0732,                0.00027,                0.01271,                0.00016,                  8e-05,                 3.5908,                 4.7149,                 4.0292,               0.040659,              0.0064487,              0.0064487
                      2,                 3.3217,                 4.0781,                 3.8111,                0.00118,                0.19805,                0.00072,                0.00026,                  3.737,                 12.558,                 4.6786,               0.010397,              0.0095198,              0.0095198
                      3,                  3.072,                 3.6986,                 3.3902,                0.00433,                0.22739,                0.00236,                0.00083,                 3.2647,                 193.05,                 6.8275,               0.009406,               0.009406,               0.009406
                      4,                 2.8695,                 3.2498,                 3.0905,                0.15036,                0.26652,                   0.05,                0.01292,                 2.7942,                 8.4514,                 3.4037,               0.009406,               0.009406,               0.009406
                      5,                 2.6654,                 2.8792,                 2.8532,                0.17299,                0.19395,                0.11134,                0.05009,                 2.6242,                 5.0336,                 3.1842,               0.009208,               0.009208,               0.009208
                      6,                 2.5202,                  2.714,                  2.655,                0.47263,                0.30743,                0.29114,                0.11307,                 2.5039,                 3.8378,                 2.8837,                0.00901,                0.00901,                0.00901
                      7,                 2.3524,                 2.4086,                 2.4941,                0.55763,                0.41079,                0.39087,                0.19791,                 2.1368,                 2.9408,                 2.4108,               0.008812,               0.008812,               0.008812
                      8,                 2.2288,                 2.2868,                 2.3631,                0.47219,                0.36683,                0.32841,                0.18141,                 2.0092,                 3.0363,                  2.247,               0.008614,               0.008614,               0.008614
                      9,                 2.1145,                 2.1381,                 2.2998,                0.33764,                 0.4498,                0.41265,                0.22613,                 2.0192,                 2.5133,                 2.2524,               0.008416,               0.008416,               0.008416
                     10,                 2.0575,                 2.1382,                 2.2169,                0.54619,                0.49087,                0.53299,                0.29783,                 1.9312,                 2.1769,                 2.1818,               0.008218,               0.008218,               0.008218
                     11,                  1.982,                 1.9458,                 2.1427,                0.69839,                0.50824,                0.55376,                 0.2755,                 1.8708,                 2.3171,                 2.1167,                0.00802,                0.00802,                0.00802
                     12,                  1.912,                 1.8758,                 2.0791,                0.74146,                 0.5062,                0.56368,                0.33149,                 1.7961,                 1.8228,                 2.0333,               0.007822,               0.007822,               0.007822
                     13,                 1.8461,                 1.8193,                 1.9787,                0.79631,                0.54692,                0.61461,                0.39406,                 1.6302,                  1.615,                 1.8783,               0.007624,               0.007624,               0.007624
                     14,                 1.7761,                 1.8142,                 1.9786,                0.62494,                0.54572,                0.56813,                0.36541,                 1.6696,                 1.6657,                  1.908,               0.007426,               0.007426,               0.007426
                     15,                 1.7172,                 1.6377,                 1.9014,                0.77155,                0.57985,                 0.6381,                0.37757,                 1.6896,                 1.7066,                 1.9394,               0.007228,               0.007228,               0.007228
                     16,                 1.7101,                 1.5803,                 1.8653,                0.80789,                0.57896,                0.65373,                0.41594,                 1.5884,                 1.5357,                 1.8276,                0.00703,                0.00703,                0.00703
                     17,                 1.6378,                 1.5376,                 1.8205,                0.80583,                0.58753,                0.64372,                0.41262,                 1.5085,                 1.5009,                 1.7948,               0.006832,               0.006832,               0.006832
                     18,                 1.5846,                 1.4696,                 1.7711,                0.78247,                0.60093,                 0.6709,                0.41888,                 1.5028,                 1.4398,                 1.7746,               0.006634,               0.006634,               0.006634
                     19,                 1.5796,                 1.4829,                 1.7726,                 0.7847,                0.61187,                 0.6595,                0.43734,                 1.4844,                 1.4484,                  1.727,               0.006436,               0.006436,               0.006436
                     20,                 1.5789,                 1.4134,                 1.7369,                 0.8361,                 0.6345,                0.70893,                0.46378,                 1.4699,                 1.3181,                  1.728,               0.006238,               0.006238,               0.006238
                     21,                 1.5681,                 1.4129,                  1.762,                0.81145,                0.62717,                0.67408,                0.45862,                 1.4202,                 1.3981,                 1.6881,                0.00604,                0.00604,                0.00604
                     22,                 1.5226,                 1.3574,                 1.6802,                0.84752,                0.63271,                0.70447,                0.46487,                 1.4611,                 1.3079,                 1.7319,               0.005842,               0.005842,               0.005842
                     23,                 1.4966,                 1.3407,                 1.6754,                0.81978,                0.64539,                0.71292,                0.48269,                 1.4345,                 1.2726,                 1.6867,               0.005644,               0.005644,               0.005644
                     24,                 1.4997,                 1.3162,                 1.6711,                0.84237,                0.63601,                0.70128,                0.46163,                   1.43,                 1.2213,                 1.6632,               0.005446,               0.005446,               0.005446
