                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8456,                 4.8692,                 4.2758,                 0.0003,                0.06356,                 0.0003,                0.00013,                    3.6,                 4.8672,                 4.0767,               0.070789,              0.0032456,              0.0032456
                      1,                 3.7491,                 4.4506,                 4.0849,                0.00028,                0.01271,                0.00017,                  8e-05,                  3.592,                 4.6888,                 4.0104,               0.040659,              0.0064487,              0.0064487
                      2,                 3.4033,                 4.0726,                  3.847,                0.00084,                0.04025,                0.00083,                0.00026,                 3.5575,                 4.6736,                 4.0013,               0.010397,              0.0095198,              0.0095198
                      3,                 3.1324,                 3.6809,                 3.4267,                0.01603,                 0.0572,                0.00708,                0.00239,                 3.0196,                 9.3848,                 3.3934,               0.009406,               0.009406,               0.009406
                      4,                 2.9619,                 3.4417,                 3.1785,                0.08126,                0.31281,                0.04937,                0.01702,                  2.768,                 79.919,                 4.0125,               0.009406,               0.009406,               0.009406
                      5,                 2.7397,                 3.0483,                 2.9164,                0.07641,                0.23284,                0.03203,                0.01014,                 2.8359,                 40.006,                 3.9144,               0.009208,               0.009208,               0.009208
                      6,                 2.5885,                 2.8486,                 2.7243,                0.27521,                0.30631,                0.17218,                0.07052,                 2.3386,                 3.6105,                 2.6728,                0.00901,                0.00901,                0.00901
                      7,                 2.3768,                 2.4819,                 2.5485,                 0.4307,                0.40916,                0.39535,                0.19482,                  2.073,                  3.649,                 2.3647,               0.008812,               0.008812,               0.008812
                      8,                 2.2692,                 2.3042,                 2.3908,                0.51869,                 0.3613,                0.38936,                0.21695,                 1.9221,                 2.6254,                 2.2024,               0.008614,               0.008614,               0.008614
                      9,                 2.1255,                 2.1538,                 2.3214,                0.63621,                0.44607,                0.47734,                0.23759,                 1.8963,                  2.149,                 2.1733,               0.008416,               0.008416,               0.008416
                     10,                 2.0368,                 2.0975,                 2.1861,                0.62659,                0.51852,                0.53199,                0.30465,                 1.8248,                 2.2474,                 2.0846,               0.008218,               0.008218,               0.008218
                     11,                 1.9629,                 1.9637,                 2.1251,                0.65781,                0.41344,                0.48326,                0.25503,                 1.8385,                 1.9565,                 2.1033,                0.00802,                0.00802,                0.00802
                     12,                 1.8891,                 1.8602,                  2.064,                0.77549,                 0.5229,                0.59784,                0.35893,                 1.7271,                 1.7904,                 1.9893,               0.007822,               0.007822,               0.007822
                     13,                 1.8436,                 1.7383,                 1.9744,                0.79317,                0.57364,                0.64051,                 0.3863,                 1.6302,                 1.6574,                 1.8913,               0.007624,               0.007624,               0.007624
                     14,                 1.7773,                 1.7538,                 1.9813,                 0.7971,                0.55019,                0.63973,                0.40678,                 1.5612,                 1.5668,                 1.8509,               0.007426,               0.007426,               0.007426
                     15,                 1.7019,                 1.6104,                 1.8715,                0.76568,                0.52703,                0.60093,                0.36143,                 1.7238,                 1.6001,                  1.989,               0.007228,               0.007228,               0.007228
                     16,                 1.6727,                 1.5265,                 1.8343,                0.82283,                0.59119,                0.65709,                0.42039,                 1.5178,                 1.4326,                 1.7718,                0.00703,                0.00703,                0.00703
                     17,                 1.6409,                 1.5029,                 1.8075,                0.79366,                0.60874,                0.67026,                0.44532,                 1.4446,                 1.3937,                 1.7306,               0.006832,               0.006832,               0.006832
                     18,                 1.5652,                 1.4064,                 1.7361,                0.87651,                0.56082,                0.66733,                0.44034,                 1.5079,                 1.4463,                 1.7335,               0.006634,               0.006634,               0.006634
                     19,                 1.5677,                 1.4234,                 1.7695,                0.89652,                0.61802,                 0.7054,                0.47284,                 1.4209,                 1.3345,                 1.6956,               0.006436,               0.006436,               0.006436
                     20,                 1.5312,                 1.3668,                 1.7017,                0.78657,                0.58419,                0.66751,                0.41968,                 1.4614,                 1.4387,                 1.6871,               0.006238,               0.006238,               0.006238
