                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7207,                 4.7119,                 4.3132,                0.00054,                  0.135,                0.00159,                0.00073,                  3.322,                 4.7306,                 4.1196,                 0.0838,                 0.0018,                 0.0018
                      1,                 3.7814,                 4.5674,                  4.237,                0.00061,                   0.15,                0.00194,                0.00089,                 3.3366,                 4.6585,                 4.0984,               0.066627,              0.0036267,              0.0036267
                      2,                 3.6904,                 4.3077,                 4.1295,                 0.0006,                   0.15,                0.00188,                0.00075,                 3.3543,                 4.6019,                 4.0742,               0.049378,              0.0053782,              0.0053782
                      3,                 3.6269,                  4.143,                 4.0434,                0.00112,                   0.06,                0.00173,                0.00078,                 3.3612,                 4.5688,                 4.0649,               0.032054,              0.0070545,              0.0070545
                      4,                 3.3453,                 3.9347,                  3.912,                0.00121,                  0.065,                0.00166,                0.00081,                 3.3587,                    4.5,                 4.0624,               0.014656,              0.0086555,              0.0086555
                      5,                 3.1247,                  3.715,                 3.6088,                0.00304,                0.40404,                0.04284,                0.01376,                 2.9588,                 3.9533,                 3.7448,                0.00901,                0.00901,                0.00901
                      6,                 3.0214,                 3.4334,                 3.4227,                0.09487,                0.06742,                0.02861,                0.00982,                 2.9769,                 4.8709,                 3.9793,                0.00901,                0.00901,                0.00901
                      7,                 2.9668,                 3.1541,                  3.223,                0.53704,                0.10112,                0.01467,                0.00618,                 2.8602,                 251.41,                 5.3326,               0.008812,               0.008812,               0.008812
                      8,                 2.7141,                 2.9791,                 3.0052,                0.54545,                0.07865,                0.03211,                0.01612,                 2.7048,                  129.2,                 5.8977,               0.008614,               0.008614,               0.008614
                      9,                 2.5674,                 2.8364,                 2.9129,                0.70922,                0.17416,                  0.176,                0.08314,                 2.4278,                 5.4684,                 3.6786,               0.008416,               0.008416,               0.008416
                     10,                 2.4431,                 2.6533,                 2.7304,                0.39762,                0.26781,                0.19356,                 0.0805,                 2.3648,                   4.65,                 3.3529,               0.008218,               0.008218,               0.008218
                     11,                 2.4019,                 2.5619,                 2.6826,                0.67544,                0.30707,                0.24993,                0.12537,                 2.0208,                  3.564,                 2.6547,                0.00802,                0.00802,                0.00802
                     12,                  2.286,                 2.3484,                  2.584,                0.39404,                0.42146,                0.36873,                0.18787,                 1.9489,                 3.6476,                 2.4918,               0.007822,               0.007822,               0.007822
                     13,                 2.1841,                 2.2529,                 2.4604,                0.41283,                0.40017,                0.39649,                0.22695,                 1.8161,                 2.2936,                 2.3704,               0.007624,               0.007624,               0.007624
                     14,                 2.1021,                 2.2071,                 2.4112,                0.59118,                0.41635,                0.44416,                0.20859,                  1.864,                 2.2506,                 2.3234,               0.007426,               0.007426,               0.007426
                     15,                 1.9538,                 2.0076,                 2.2398,                0.59098,                0.52826,                0.52916,                0.31161,                  1.718,                 2.2155,                 2.0994,               0.007228,               0.007228,               0.007228
                     16,                   1.94,                 1.9274,                 2.2523,                0.63973,                 0.4553,                0.51148,                0.30027,                 1.7938,                 2.2146,                 2.1603,                0.00703,                0.00703,                0.00703
                     17,                 1.8745,                 1.8545,                 2.1176,                0.61847,                0.53573,                0.58743,                 0.3454,                  1.645,                 1.9297,                 2.0234,               0.006832,               0.006832,               0.006832
                     18,                 1.7997,                 1.7417,                 2.0836,                0.67863,                 0.5393,                0.59457,                0.34449,                 1.6722,                  2.451,                 2.0981,               0.006634,               0.006634,               0.006634
                     19,                 1.8126,                 1.7588,                 2.1496,                0.74731,                0.56135,                 0.6653,                0.41583,                 1.5353,                 1.6572,                 1.9931,               0.006436,               0.006436,               0.006436
                     20,                 1.7717,                 1.6889,                 2.0649,                0.73072,                0.61702,                0.65801,                0.38729,                 1.6196,                 1.8277,                 2.0277,               0.006238,               0.006238,               0.006238
                     21,                 1.6946,                 1.6534,                 1.9672,                0.70116,                0.64375,                0.64988,                0.38498,                 1.5923,                 1.7111,                 1.9662,                0.00604,                0.00604,                0.00604
                     22,                 1.6545,                 1.5892,                 1.9506,                0.74873,                0.57919,                0.64211,                0.38931,                 1.5345,                 1.5974,                 1.9676,               0.005842,               0.005842,               0.005842
                     23,                 1.6206,                 1.5003,                 1.9104,                0.79258,                0.60264,                0.69334,                0.45193,                 1.4025,                 1.5613,                 1.8896,               0.005644,               0.005644,               0.005644
                     24,                 1.6081,                 1.4953,                 1.9047,                0.79507,                0.62011,                0.69798,                0.43773,                 1.4163,                 1.5031,                 1.8876,               0.005446,               0.005446,               0.005446
                     25,                 1.5837,                 1.4278,                 1.8512,                0.75717,                0.58764,                0.66456,                0.43049,                 1.4443,                 1.7418,                 1.9378,               0.005248,               0.005248,               0.005248
                     26,                  1.497,                 1.3943,                 1.7897,                0.80404,                 0.6522,                0.72388,                0.45085,                 1.5424,                 1.5562,                  1.984,                0.00505,                0.00505,                0.00505
                     27,                 1.4967,                 1.3724,                 1.7994,                0.81209,                0.72645,                0.78236,                0.48111,                 1.4139,                 1.4613,                 1.8541,               0.004852,               0.004852,               0.004852
                     28,                 1.5112,                 1.3674,                 1.8134,                0.81802,                0.66348,                0.75441,                0.45529,                 1.4615,                 1.4888,                 1.8356,               0.004654,               0.004654,               0.004654
                     29,                  1.483,                 1.3662,                 1.8127,                0.77026,                0.70635,                0.73498,                0.47421,                 1.3644,                 1.6709,                 1.8096,               0.004456,               0.004456,               0.004456
                     30,                 1.4741,                 1.3036,                 1.7643,                0.83079,                0.71037,                0.78218,                0.50132,                 1.3939,                 1.6015,                  1.811,               0.004258,               0.004258,               0.004258
