                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8229,                  4.863,                 4.2953,                0.00028,                0.05907,                0.00023,                 0.0001,                 3.6047,                 4.8784,                 4.0831,               0.070789,              0.0032456,              0.0032456
                      1,                 3.6262,                  4.336,                 4.0673,                0.00027,                0.01266,                0.00019,                  8e-05,                 3.5979,                 4.7326,                 4.0414,               0.040659,              0.0064487,              0.0064487
                      2,                 3.2514,                 3.9268,                 3.7385,                0.00158,                0.17904,                0.00099,                0.00031,                  3.393,                 4.5248,                 3.8821,               0.010397,              0.0095198,              0.0095198
                      3,                 3.0526,                   3.67,                 3.3709,                0.00835,                0.22338,                0.00594,                 0.0017,                 3.1131,                 25.998,                 4.7652,               0.009406,               0.009406,               0.009406
                      4,                 2.8863,                 3.2637,                 3.0972,                0.16917,                0.12424,                0.03681,                0.01199,                 3.3789,                  389.7,                  9.653,               0.009406,               0.009406,               0.009406
                      5,                 2.6509,                 2.8547,                 2.8313,                0.15459,                0.32225,                  0.098,                0.04329,                 2.6589,                 297.68,                 4.0912,               0.009208,               0.009208,               0.009208
                      6,                 2.5194,                 2.6786,                 2.6319,                0.23457,                0.21462,                0.14207,                0.06751,                 2.4567,                 10.326,                 3.1666,                0.00901,                0.00901,                0.00901
                      7,                 2.3322,                 2.3274,                 2.4863,                 0.4551,                 0.4675,                0.35301,                0.19913,                 1.9823,                 3.2719,                 2.2971,               0.008812,               0.008812,               0.008812
                      8,                 2.2094,                 2.1871,                 2.3601,                0.53532,                0.47342,                0.48697,                0.28359,                 1.8667,                 2.1315,                 2.1429,               0.008614,               0.008614,               0.008614
                      9,                 2.0742,                 2.0671,                 2.3033,                0.64332,                0.47719,                0.52964,                0.29936,                 1.8953,                  2.006,                 2.1702,               0.008416,               0.008416,               0.008416
                     10,                 2.0158,                 2.0065,                 2.1787,                0.73136,                0.51991,                0.57231,                0.33916,                 1.7353,                 1.9742,                   2.02,               0.008218,               0.008218,               0.008218
                     11,                 1.8599,                 1.8612,                  2.076,                0.71627,                0.49536,                0.58803,                0.35605,                 1.7106,                 1.8757,                 1.9878,                0.00802,                0.00802,                0.00802
                     12,                 1.8329,                 1.7493,                 2.0295,                0.74873,                0.55011,                0.60179,                0.36053,                 1.6031,                 1.6165,                 1.9178,               0.007822,               0.007822,               0.007822
                     13,                 1.7604,                 1.6352,                 1.9377,                 0.7163,                 0.5726,                0.61094,                0.36564,                    1.6,                 1.6421,                 1.9077,               0.007624,               0.007624,               0.007624
                     14,                 1.7059,                 1.6441,                 1.9303,                 0.7722,                0.59981,                0.67881,                0.42696,                 1.5241,                 1.5294,                 1.8167,               0.007426,               0.007426,               0.007426
                     15,                 1.6333,                 1.5278,                  1.842,                0.86403,                0.60829,                0.69105,                0.43466,                 1.5117,                 1.3397,                 1.8306,               0.007228,               0.007228,               0.007228
                     16,                 1.6211,                 1.4352,                 1.8297,                0.90374,                 0.6294,                0.70291,                0.43649,                 1.4378,                 1.2838,                 1.7372,                0.00703,                0.00703,                0.00703
                     17,                 1.5381,                  1.411,                 1.7694,                0.89738,                0.64138,                0.71009,                0.48552,                 1.3695,                 1.3291,                 1.7052,               0.006832,               0.006832,               0.006832
                     18,                 1.4927,                  1.331,                 1.7235,                 0.8999,                0.62938,                0.71361,                0.45966,                  1.431,                 1.2342,                 1.7082,               0.006634,               0.006634,               0.006634
                     19,                 1.4939,                 1.3404,                 1.7343,                0.84216,                0.49286,                 0.6429,                0.41745,                 1.3808,                 1.3548,                 1.6676,               0.006436,               0.006436,               0.006436
                     20,                 1.5065,                 1.3278,                 1.7091,                0.85834,                0.64581,                0.72587,                0.48069,                 1.3504,                 1.3149,                 1.6776,               0.006238,               0.006238,               0.006238
                     21,                  1.465,                 1.2882,                  1.709,                0.91011,                 0.6568,                0.74494,                0.51261,                 1.2744,                  1.102,                 1.5944,                0.00604,                0.00604,                0.00604
                     22,                   1.44,                 1.2489,                 1.6582,                0.89885,                0.64149,                0.73208,                0.49929,                 1.2555,                 1.1136,                 1.5749,               0.005842,               0.005842,               0.005842
                     23,                 1.4264,                 1.2428,                 1.6492,                0.92285,                0.64209,                0.75928,                0.53568,                 1.2182,                 1.0326,                  1.539,               0.005644,               0.005644,               0.005644
                     24,                 1.4038,                 1.1887,                 1.6358,                0.86489,                0.63573,                0.71305,                0.50203,                 1.2684,                 1.2531,                 1.6139,               0.005446,               0.005446,               0.005446
                     25,                 1.3801,                 1.1918,                 1.5954,                0.90451,                0.66277,                0.75169,                0.51311,                 1.2313,                 1.1103,                 1.5034,               0.005248,               0.005248,               0.005248
                     26,                 1.3607,                 1.1452,                 1.5948,                0.88733,                0.67576,                0.76973,                0.54794,                   1.19,                 0.9716,                 1.5025,                0.00505,                0.00505,                0.00505
                     27,                 1.3527,                  1.142,                 1.5823,                0.93986,                   0.67,                0.76784,                 0.5303,                 1.2268,                 1.0513,                    1.5,               0.004852,               0.004852,               0.004852
                     28,                 1.3027,                 1.1004,                 1.5647,                0.89105,                0.72423,                0.79017,                0.55521,                 1.1608,                0.93216,                 1.4712,               0.004654,               0.004654,               0.004654
                     29,                 1.3077,                 1.0905,                 1.5374,                0.92052,                0.71562,                0.80501,                 0.5722,                 1.1162,                0.93707,                 1.4318,               0.004456,               0.004456,               0.004456
                     30,                 1.2738,                 1.0816,                 1.5132,                0.89548,                0.66934,                0.77825,                0.53659,                 1.1837,                 0.9711,                 1.4645,               0.004258,               0.004258,               0.004258
                     31,                   1.31,                 1.0758,                 1.5095,                0.93739,                0.71085,                0.81163,                0.56889,                 1.1364,                0.89712,                 1.4488,                0.00406,                0.00406,                0.00406
                     32,                 1.2856,                 1.0734,                 1.4949,                0.93146,                0.68095,                0.79835,                0.56399,                  1.134,                 0.9112,                 1.4307,               0.003862,               0.003862,               0.003862
                     33,                 1.2343,                 1.0215,                 1.4776,                0.90996,                0.71739,                    0.8,                0.58049,                 1.1326,                0.89742,                 1.4375,               0.003664,               0.003664,               0.003664
                     34,                 1.2634,                 1.0385,                 1.4818,                0.92065,                 0.7483,                0.81856,                0.59642,                  1.086,                0.86454,                 1.4065,               0.003466,               0.003466,               0.003466
                     35,                 1.2047,                0.97421,                 1.4385,                0.93485,                0.74846,                0.82448,                0.59872,                 1.0692,                0.84653,                 1.3898,               0.003268,               0.003268,               0.003268
                     36,                  1.249,                 1.0295,                 1.4708,                0.91329,                 0.7565,                0.82534,                0.59289,                 1.0947,                0.86465,                 1.3992,                0.00307,                0.00307,                0.00307
                     37,                 1.2156,                0.99594,                 1.4541,                0.94467,                0.72698,                0.82055,                0.59688,                   1.09,                0.84241,                 1.3926,               0.002872,               0.002872,               0.002872
                     38,                 1.2278,                0.97767,                 1.4578,                0.95998,                0.69388,                0.81062,                0.57912,                 1.0985,                0.86876,                 1.3976,               0.002674,               0.002674,               0.002674
                     39,                 1.1803,                0.93112,                 1.4099,                0.90393,                 0.7422,                0.82937,                0.60821,                 1.0488,                0.81829,                 1.3639,               0.002476,               0.002476,               0.002476
                     40,                 1.1664,                0.95034,                 1.4201,                0.90606,                0.77687,                0.83312,                0.61333,                 1.0528,                0.80234,                 1.3693,               0.002278,               0.002278,               0.002278
                     41,                 1.1361,                0.91271,                 1.3929,                0.90336,                0.76509,                0.82813,                0.60812,                 1.0461,                0.86292,                 1.3636,                0.00208,                0.00208,                0.00208
                     42,                 1.1628,                0.90904,                 1.4176,                0.93954,                0.75454,                0.83887,                0.62135,                 1.0111,                0.78727,                 1.3281,               0.001882,               0.001882,               0.001882
                     43,                 1.1493,                0.88572,                 1.3832,                0.95774,                0.76214,                0.84219,                0.62413,                 1.0172,                0.76692,                 1.3265,               0.001684,               0.001684,               0.001684
                     44,                 1.1118,                0.88512,                 1.3957,                0.89045,                0.77357,                0.83624,                0.61549,                   1.04,                0.79031,                 1.3513,               0.001486,               0.001486,               0.001486
                     45,                 1.1272,                0.88591,                 1.3913,                0.91656,                0.76156,                0.83606,                0.61825,                0.98502,                0.77742,                 1.3052,               0.001288,               0.001288,               0.001288
                     46,                 1.1229,                0.87935,                 1.3842,                0.92316,                0.75499,                0.84766,                0.63513,                  0.984,                0.76095,                 1.3142,                0.00109,                0.00109,                0.00109
                     47,                 1.1104,                0.86577,                 1.3581,                0.90444,                0.77287,                0.84553,                0.62976,                0.98555,                0.73871,                 1.3033,               0.000892,               0.000892,               0.000892
                     48,                  1.095,                 0.8495,                 1.3566,                0.90437,                0.79565,                0.85335,                0.63509,                0.97411,                0.72958,                 1.2904,               0.000694,               0.000694,               0.000694
                     49,                 1.1072,                0.85617,                 1.3695,                0.89655,                0.80117,                0.84903,                0.63535,                0.98883,                0.73111,                 1.3039,               0.000496,               0.000496,               0.000496
