                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6708,                 4.8051,                 4.3396,                0.00054,                0.11345,                0.00084,                0.00028,                 3.5457,                 4.5454,                 4.1218,                 0.0838,                 0.0018,                 0.0018
                      1,                 3.7304,                  4.585,                 4.2312,                0.00059,                0.12185,                0.00191,                0.00054,                 3.5484,                 4.4803,                  4.095,               0.066627,              0.0036267,              0.0036267
                      2,                 3.7838,                 4.3736,                 4.1399,                0.00072,                0.03361,                0.00068,                0.00031,                 3.5522,                  4.438,                 4.0687,               0.049378,              0.0053782,              0.0053782
                      3,                 3.6532,                 4.0757,                 4.0317,                0.00064,                0.02941,                0.00067,                0.00031,                 3.5545,                 4.4173,                   4.05,               0.032054,              0.0070545,              0.0070545
                      4,                 3.2907,                 3.8335,                 3.8603,                0.00073,                0.03361,                0.00216,                0.00066,                 3.5503,                 4.4088,                 4.0514,               0.014656,              0.0086555,              0.0086555
                      5,                 3.1428,                 3.5529,                 3.5718,                0.00094,                0.04622,                0.00071,                 0.0003,                 3.5141,                 4.4104,                 4.0584,                0.00901,                0.00901,                0.00901
                      6,                 2.9298,                 3.3203,                 3.2431,                0.23663,                0.10376,                0.10773,                0.04305,                 2.8992,                 3.5216,                 3.4894,                0.00901,                0.00901,                0.00901
                      7,                 2.8136,                 3.0258,                 3.1233,                0.24173,                  0.211,                0.15699,                  0.054,                  2.798,                 6.0182,                 3.6648,               0.008812,               0.008812,               0.008812
                      8,                 2.6227,                 2.8219,                 2.8686,                0.63077,                0.18287,                0.14086,                0.04952,                 2.7946,                 5.3112,                 3.3697,               0.008614,               0.008614,               0.008614
                      9,                  2.522,                 2.7071,                 2.7436,                0.30858,                0.30709,                0.26789,                0.10398,                 2.5969,                 7.4264,                 3.4015,               0.008416,               0.008416,               0.008416
                     10,                 2.3788,                 2.4554,                 2.6233,                0.48591,                0.35358,                0.33019,                0.14239,                 2.2785,                 3.0106,                 2.8678,               0.008218,               0.008218,               0.008218
                     11,                 2.2635,                 2.2238,                  2.466,                0.50253,                0.39318,                0.39509,                0.19412,                 2.2669,                 3.2051,                 2.7778,                0.00802,                0.00802,                0.00802
                     12,                 2.1749,                 2.2713,                 2.4415,                0.51785,                0.28527,                 0.3037,                0.15963,                 2.3325,                 3.1423,                  2.782,               0.007822,               0.007822,               0.007822
                     13,                 2.1214,                 2.0064,                 2.3054,                0.68494,                0.44568,                0.51397,                0.28106,                 2.1029,                 2.4601,                 2.4933,               0.007624,               0.007624,               0.007624
                     14,                 1.9948,                 1.9598,                 2.2803,                0.77651,                0.52822,                0.59765,                0.35017,                 1.8328,                 2.1208,                 2.1746,               0.007426,               0.007426,               0.007426
                     15,                 1.9548,                 1.8234,                 2.1844,                0.61682,                0.47931,                0.51678,                 0.2914,                 1.9663,                 2.0783,                 2.2767,               0.007228,               0.007228,               0.007228
                     16,                 1.8762,                 1.7644,                 2.1361,                0.59912,                0.52808,                 0.5235,                0.29973,                 1.9815,                 3.0478,                 2.3091,                0.00703,                0.00703,                0.00703
                     17,                 1.8131,                  1.677,                 2.0575,                0.67629,                0.52489,                0.59955,                0.33777,                 1.9645,                 1.9905,                  2.367,               0.006832,               0.006832,               0.006832
                     18,                 1.7401,                  1.647,                 1.9929,                0.67605,                0.67308,                0.65389,                0.39705,                 1.7247,                 2.3294,                 2.1291,               0.006634,               0.006634,               0.006634
                     19,                 1.7373,                 1.6135,                 1.9988,                0.79884,                0.62134,                0.68962,                0.43134,                 1.6969,                 1.6543,                 2.0687,               0.006436,               0.006436,               0.006436
                     20,                  1.614,                 1.4844,                 1.8592,                0.87315,                0.61223,                0.67931,                 0.4332,                 1.5991,                 1.6966,                 1.9969,               0.006238,               0.006238,               0.006238
                     21,                 1.6054,                 1.4981,                 1.8984,                 0.8133,                0.59334,                0.68295,                0.44136,                 1.6362,                 1.6577,                 1.9756,                0.00604,                0.00604,                0.00604
                     22,                 1.5876,                 1.4273,                 1.8113,                 0.8247,                 0.6392,                0.71487,                0.47695,                 1.5954,                 1.6063,                 1.9356,               0.005842,               0.005842,               0.005842
                     23,                 1.5413,                 1.4203,                 1.8147,                0.67314,                0.66335,                0.64745,                0.42662,                 1.5654,                 1.5007,                 1.8926,               0.005644,               0.005644,               0.005644
                     24,                 1.5386,                 1.4348,                 1.8192,                0.74544,                 0.6224,                0.69455,                0.46046,                 1.4941,                  1.401,                 1.8488,               0.005446,               0.005446,               0.005446
                     25,                 1.4876,                 1.3442,                 1.7507,                0.91537,                0.63797,                0.74152,                0.49305,                 1.4309,                  1.365,                 1.7966,               0.005248,               0.005248,               0.005248
                     26,                 1.4684,                  1.308,                  1.757,                0.89033,                0.66565,                0.75465,                0.49579,                 1.5175,                 1.3739,                 1.8512,                0.00505,                0.00505,                0.00505
                     27,                 1.4697,                 1.2912,                 1.7645,                0.86563,                0.70824,                0.77314,                0.51905,                 1.4616,                 1.4823,                 1.8147,               0.004852,               0.004852,               0.004852
                     28,                 1.4422,                 1.2425,                   1.69,                0.87444,                0.72694,                0.80516,                0.53447,                 1.3896,                 1.2143,                 1.7618,               0.004654,               0.004654,               0.004654
                     29,                 1.3987,                 1.2475,                 1.6855,                0.87904,                0.72991,                0.80844,                0.54324,                 1.3959,                 1.2357,                 1.7498,               0.004456,               0.004456,               0.004456
                     30,                  1.417,                 1.2358,                 1.6915,                0.92282,                0.69357,                0.79919,                0.54595,                 1.3591,                 1.2638,                 1.7082,               0.004258,               0.004258,               0.004258
                     31,                  1.335,                 1.1602,                 1.6485,                0.89229,                0.70173,                0.79807,                0.53366,                 1.4127,                 1.2999,                 1.7643,                0.00406,                0.00406,                0.00406
                     32,                 1.3895,                  1.209,                 1.6426,                0.85003,                0.68171,                 0.7697,                0.49765,                 1.4286,                 1.3377,                  1.775,               0.003862,               0.003862,               0.003862
                     33,                 1.3069,                 1.1217,                 1.5801,                 0.9148,                0.66654,                0.78815,                0.53798,                 1.4044,                 1.3608,                 1.7518,               0.003664,               0.003664,               0.003664
                     34,                 1.3173,                 1.1203,                 1.5765,                0.90718,                0.70162,                0.79464,                0.54496,                 1.3731,                 1.2717,                 1.7349,               0.003466,               0.003466,               0.003466
                     35,                 1.3181,                 1.1203,                 1.5904,                0.90993,                0.73721,                0.83787,                0.58525,                 1.2952,                 1.1487,                 1.6657,               0.003268,               0.003268,               0.003268
                     36,                 1.3108,                 1.1377,                 1.5812,                0.86446,                 0.7419,                0.82628,                0.55617,                 1.3436,                 1.1845,                 1.6858,                0.00307,                0.00307,                0.00307
                     37,                 1.3117,                 1.1013,                 1.5795,                0.89028,                 0.7492,                0.84452,                0.58836,                 1.2702,                 1.1256,                  1.639,               0.002872,               0.002872,               0.002872
                     38,                  1.291,                 1.1198,                 1.5908,                0.88872,                0.75556,                0.81831,                0.56083,                 1.2994,                 1.1819,                 1.6693,               0.002674,               0.002674,               0.002674
                     39,                 1.3141,                 1.1126,                  1.601,                0.90921,                0.76988,                0.85249,                0.60159,                 1.2203,                 1.0472,                 1.6037,               0.002476,               0.002476,               0.002476
                     40,                 1.2153,                 1.0386,                 1.5243,                0.93321,                0.73456,                0.84705,                0.59389,                  1.211,                 1.0106,                 1.5856,               0.002278,               0.002278,               0.002278
                     41,                 1.2029,                 1.0102,                 1.4961,                0.87188,                0.75869,                0.82999,                0.58558,                  1.229,                 1.0259,                 1.5986,                0.00208,                0.00208,                0.00208
                     42,                 1.2625,                 1.0801,                 1.5333,                0.82967,                0.80107,                 0.8473,                0.59885,                 1.2297,                 1.0661,                 1.6076,               0.001882,               0.001882,               0.001882
