                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7543,                 5.0321,                 4.2374,                0.00069,                0.11967,                0.00061,                0.00021,                 3.5892,                 5.1526,                  4.162,             0.00054104,             0.00054104,             0.00054104
                      1,                 3.2678,                 4.3256,                  3.761,                0.00087,                0.08841,                0.00059,                0.00022,                 3.6252,                 4.9351,                 4.2175,               0.001075,               0.001075,               0.001075
                      2,                  2.935,                 3.7879,                  3.193,                0.00104,                0.05241,                0.00095,                0.00033,                 3.6117,                 4.9503,                 4.3609,              0.0015869,              0.0015869,              0.0015869
                      3,                 2.7519,                 3.3582,                  2.912,                0.18005,                0.15954,                0.13017,                0.06438,                 2.6266,                 3.9348,                 3.1448,               0.001568,               0.001568,               0.001568
                      4,                  2.648,                 2.9656,                 2.7877,                0.53523,                0.27285,                0.26206,                0.08312,                 2.5995,                 3.6998,                 2.9744,               0.001568,               0.001568,               0.001568
                      5,                 2.4245,                 2.6428,                 2.5619,                 0.1974,                0.39173,                0.25793,                0.10776,                 2.3282,                 5.1582,                  2.607,               0.001535,               0.001535,               0.001535
                      6,                 2.3564,                 2.4441,                 2.4725,                0.33875,                0.37259,                0.26407,                0.13356,                 2.2024,                 4.9756,                  2.446,               0.001502,               0.001502,               0.001502
                      7,                  2.227,                 2.2688,                 2.3096,                0.54335,                0.42834,                0.42861,                0.20702,                 2.0772,                 2.5152,                 2.3188,               0.001469,               0.001469,               0.001469
                      8,                 2.0713,                 2.1146,                  2.226,                 0.5755,                0.49479,                0.50985,                0.27148,                 1.8852,                 2.0359,                 2.1502,               0.001436,               0.001436,               0.001436
                      9,                 2.0261,                 2.0181,                 2.1318,                0.64363,                0.50474,                0.50949,                0.28449,                 1.9242,                 2.0885,                 2.1736,              0.0014029,              0.0014029,              0.0014029
