                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7839,                 4.9801,                 4.2394,                0.00048,                0.09787,                0.00053,                0.00019,                 3.5583,                 4.9584,                 4.1578,             0.00054104,             0.00054104,             0.00054104
                      1,                 3.2485,                 4.1943,                  3.829,                0.00074,                0.08457,                0.00071,                 0.0002,                 3.6459,                 4.8258,                 4.3106,               0.001075,               0.001075,               0.001075
                      2,                 2.8377,                  3.597,                 3.1481,                0.00428,                0.08343,                0.00876,                0.00303,                 3.5072,                 4.6009,                 4.0137,              0.0015869,              0.0015869,              0.0015869
                      3,                 2.6366,                 3.1231,                 2.8556,                0.26062,                0.17401,                0.13108,                0.05147,                 2.5348,                 3.5417,                 2.9799,               0.001568,               0.001568,               0.001568
                      4,                 2.4002,                 2.8243,                 2.6264,                0.37221,                0.48465,                0.33279,                0.12919,                 2.5001,                 7.5179,                 3.0401,               0.001568,               0.001568,               0.001568
                      5,                 2.2146,                 2.4309,                 2.4585,                0.39921,                0.27386,                0.29908,                0.14711,                  2.256,                 2.9089,                 2.6466,               0.001535,               0.001535,               0.001535
                      6,                 2.1305,                 2.2259,                 2.3688,                0.69321,                0.50441,                0.56176,                0.32374,                 1.8771,                 2.3105,                 2.1805,               0.001502,               0.001502,               0.001502
                      7,                 2.0419,                 2.0795,                 2.2361,                0.54742,                0.36163,                0.39574,                0.23562,                 1.8423,                  2.627,                 2.1231,               0.001469,               0.001469,               0.001469
                      8,                 1.9045,                 1.9156,                 2.1545,                 0.5913,                0.57986,                0.54764,                0.32986,                 1.7224,                 2.2994,                 2.0135,               0.001436,               0.001436,               0.001436
                      9,                 1.8098,                 1.7979,                 2.0699,                0.72806,                0.60208,                0.66429,                0.39452,                 1.6767,                 1.7618,                  1.977,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.7903,                 1.7297,                 2.0205,                0.74411,                0.59388,                0.66028,                0.38597,                 1.6723,                 1.5462,                 1.9609,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.7013,                 1.6399,                 1.9394,                 0.7663,                0.62112,                0.70431,                0.43571,                 1.5672,                 1.4755,                 1.8905,              0.0013369,              0.0013369,              0.0013369
                     12,                 1.7065,                 1.6074,                  1.963,                0.76037,                0.64164,                0.69201,                0.43453,                  1.538,                 1.4929,                 1.8666,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.6548,                 1.5707,                 1.9166,                0.78767,                 0.6342,                0.69662,                0.45145,                 1.5234,                 1.4381,                 1.8171,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.6033,                 1.5278,                 1.8573,                0.84669,                0.65358,                0.73072,                0.46898,                  1.455,                 1.3454,                 1.8115,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.5728,                 1.4427,                 1.8453,                0.84199,                 0.6117,                0.73003,                0.47709,                 1.4404,                 1.3985,                 1.7603,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.5755,                 1.4378,                 1.8379,                0.82165,                0.70567,                 0.7568,                0.50817,                 1.3807,                 1.3431,                 1.7224,              0.0011719,              0.0011719,              0.0011719
                     17,                 1.4707,                  1.351,                 1.7784,                0.82477,                0.70222,                0.75442,                0.47945,                 1.4338,                 1.2779,                 1.7361,              0.0011389,              0.0011389,              0.0011389
                     18,                 1.5113,                 1.4021,                 1.7639,                 0.8226,                0.70183,                0.76489,                0.49644,                 1.4077,                 1.3626,                 1.7055,              0.0011059,              0.0011059,              0.0011059
                     19,                 1.5071,                 1.3487,                 1.7671,                0.88391,                0.67819,                0.77287,                0.50844,                 1.4065,                 1.2472,                 1.7078,              0.0010729,              0.0010729,              0.0010729
                     20,                 1.4484,                 1.2885,                 1.7114,                0.85323,                0.72352,                0.79635,                 0.5471,                 1.3218,                 1.1033,                 1.6253,              0.0010399,              0.0010399,              0.0010399
                     21,                  1.439,                 1.2612,                 1.6992,                0.88642,                0.72506,                 0.8107,                0.56944,                 1.2886,                 1.0776,                 1.5959,              0.0010069,              0.0010069,              0.0010069
                     22,                 1.4001,                 1.1813,                 1.6523,                0.88422,                0.70049,                0.80324,                0.53989,                 1.3256,                 1.1389,                 1.6206,             0.00097386,             0.00097386,             0.00097386
                     23,                 1.4018,                 1.1763,                 1.6489,                0.85891,                0.69332,                0.79264,                0.53671,                 1.3219,                 1.1039,                 1.6225,             0.00094085,             0.00094085,             0.00094085
                     24,                 1.3971,                 1.1753,                 1.6573,                0.89121,                0.75636,                0.82436,                 0.5579,                 1.2843,                 1.0402,                 1.5965,             0.00090785,             0.00090785,             0.00090785
                     25,                 1.3755,                 1.1721,                 1.6341,                0.86537,                0.71171,                0.80896,                0.53338,                 1.3302,                 1.0608,                 1.6128,             0.00087484,             0.00087484,             0.00087484
                     26,                 1.3729,                 1.1535,                 1.6215,                0.89665,                0.72574,                0.82829,                0.56672,                 1.2684,                 1.0247,                 1.5683,             0.00084184,             0.00084184,             0.00084184
                     27,                 1.3598,                 1.1491,                 1.6196,                  0.872,                0.70605,                0.81809,                0.55582,                 1.2549,                 1.0459,                 1.5552,             0.00080883,             0.00080883,             0.00080883
                     28,                 1.3677,                 1.1273,                 1.6036,                0.87786,                0.76445,                0.84069,                 0.5688,                 1.2586,                 1.0229,                 1.5612,             0.00077582,             0.00077582,             0.00077582
                     29,                 1.2982,                 1.1001,                 1.5851,                0.85015,                0.70956,                0.80975,                0.58019,                 1.1968,                 1.0242,                 1.5231,             0.00074282,             0.00074282,             0.00074282
                     30,                 1.2916,                 1.0853,                 1.5946,                 0.8506,                0.71343,                0.80109,                0.56261,                 1.2262,                 1.0564,                 1.5407,             0.00070981,             0.00070981,             0.00070981
                     31,                 1.3023,                  1.077,                 1.5599,                0.90233,                0.75616,                0.83676,                0.57611,                 1.2522,                0.98514,                 1.5714,              0.0006768,              0.0006768,              0.0006768
                     32,                 1.3118,                 1.0792,                 1.5618,                0.91113,                0.76805,                0.85248,                0.59909,                 1.1944,                 0.9294,                 1.4934,              0.0006438,              0.0006438,              0.0006438
                     33,                 1.2802,                 1.0534,                 1.5334,                0.88321,                0.77858,                0.84389,                0.59669,                 1.1656,                 0.9254,                 1.4659,             0.00061079,             0.00061079,             0.00061079
                     34,                 1.2212,                 1.0051,                 1.4923,                0.92081,                0.75973,                0.85857,                0.60664,                 1.1585,                 0.8993,                 1.4632,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.2454,                 1.0176,                 1.5206,                0.90122,                 0.7994,                0.86914,                0.62266,                 1.1363,                0.88889,                 1.4663,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.2358,                   1.01,                  1.507,                0.91542,                0.75547,                0.84461,                0.59191,                 1.1732,                0.92253,                 1.4794,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.2351,                0.98514,                 1.5162,                0.92413,                 0.7959,                0.86467,                 0.5894,                 1.2281,                0.87733,                 1.4905,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.2258,                0.98046,                 1.4665,                0.91445,                 0.7924,                0.87228,                0.61294,                 1.1421,                0.87688,                 1.4574,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.2199,                0.95108,                  1.469,                0.94323,                0.77173,                0.86755,                0.63303,                 1.1085,                0.83141,                 1.4283,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.1994,                0.93754,                 1.4684,                0.91149,                0.78614,                0.86669,                0.62072,                 1.1295,                0.85687,                 1.4325,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.1874,                0.94657,                 1.4605,                0.93943,                0.78473,                0.87164,                0.62822,                 1.1143,                 0.8327,                 1.4346,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.2267,                0.96137,                 1.4923,                0.91607,                0.80228,                 0.8781,                0.63759,                 1.0923,                0.82263,                 1.4069,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.1433,                 0.9042,                 1.4114,                 0.9386,                0.80026,                0.87922,                0.63706,                 1.0763,                0.80469,                 1.3909,             0.00028072,             0.00028072,             0.00028072
