                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7346,                 4.4349,                 4.1109,                0.00065,                 0.0353,                0.00048,                0.00018,                 3.6286,                 4.4003,                 3.9083,               0.070265,              0.0033038,              0.0033038
                      1,                   3.17,                 3.4287,                 3.4934,                0.15878,                0.20692,                0.08127,                0.02725,                 2.8223,                 4.3778,                 4.0469,               0.040134,              0.0065058,              0.0065058
                      2,                 2.4444,                 2.4762,                  2.698,                0.47768,                0.30136,                 0.2833,                0.11505,                 2.1918,                 7.6188,                 2.6453,              0.0098707,              0.0095757,              0.0095757
                      3,                 1.9881,                 1.9643,                 2.2177,                0.53492,                0.65872,                0.52842,                 0.3279,                 1.7028,                 3.5118,                  2.006,               0.009406,               0.009406,               0.009406
                      4,                 1.7376,                 1.6539,                  1.954,                0.81586,                0.61161,                0.68551,                0.43452,                 1.5333,                   1.63,                 1.8616,               0.009406,               0.009406,               0.009406
                      5,                 1.5955,                 1.4676,                  1.785,                0.86267,                0.64988,                0.73963,                0.49085,                 1.3644,                 1.3636,                 1.6358,               0.009208,               0.009208,               0.009208
                      6,                 1.5014,                  1.345,                  1.691,                0.87749,                0.69645,                0.79141,                0.52631,                 1.3186,                 1.2899,                  1.575,                0.00901,                0.00901,                0.00901
                      7,                  1.417,                 1.2351,                 1.6022,                0.75605,                0.63579,                0.69551,                 0.4825,                 1.3502,                 1.3915,                 1.5779,               0.008812,               0.008812,               0.008812
                      8,                 1.3641,                 1.1499,                 1.5459,                0.88692,                0.74603,                0.82541,                0.56354,                 1.2761,                 1.1931,                 1.5085,               0.008614,               0.008614,               0.008614
                      9,                 1.3261,                 1.1121,                 1.5147,                0.85594,                 0.7586,                0.82469,                0.57395,                 1.2218,                 1.0777,                 1.4367,               0.008416,               0.008416,               0.008416
                     10,                 1.2908,                 1.0442,                 1.4696,                0.90529,                0.77661,                0.85754,                0.61427,                 1.1688,                0.94948,                 1.4272,               0.008218,               0.008218,               0.008218
                     11,                 1.2307,                0.97828,                 1.4212,                0.89079,                0.78984,                0.86564,                0.63443,                 1.0794,                0.88755,                 1.3464,                0.00802,                0.00802,                0.00802
                     12,                 1.2253,                0.97629,                 1.4041,                0.91548,                0.80005,                 0.8748,                0.61427,                 1.1339,                0.93193,                 1.3655,               0.007822,               0.007822,               0.007822
                     13,                 1.2076,                0.94392,                 1.3968,                0.89925,                0.80428,                 0.8706,                0.63507,                 1.0708,                0.86557,                 1.3387,               0.007624,               0.007624,               0.007624
                     14,                 1.1886,                0.90634,                 1.3905,                0.88581,                 0.8112,                0.87186,                0.64042,                  1.054,                0.83864,                 1.3187,               0.007426,               0.007426,               0.007426
