                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8592,                 4.7619,                 4.2376,                 0.0004,                0.01857,                 0.0003,                0.00013,                 3.7044,                 4.7571,                 4.0403,               0.070526,              0.0032749,              0.0032749
                      1,                 3.7204,                 4.3512,                 4.0319,                 0.0004,                   0.02,                0.00024,                 0.0001,                 3.7057,                 4.6071,                 3.9695,               0.040395,              0.0064773,              0.0064773
                      2,                 3.2202,                  3.864,                 3.6588,                0.00817,                0.04429,                0.00643,                0.00246,                 3.0017,                 5.6371,                 3.6509,               0.010133,              0.0095478,              0.0095478
                      3,                 2.9032,                 3.3287,                 3.1213,                0.05191,                0.20495,                0.03071,                 0.0108,                 2.6501,                 29.529,                 4.2807,               0.009406,               0.009406,               0.009406
                      4,                 2.6573,                 2.8485,                 2.7951,                0.23363,                 0.5118,                0.22821,                 0.1025,                  2.288,                 59.745,                 3.0703,               0.009406,               0.009406,               0.009406
                      5,                 2.3946,                 2.3655,                 2.4954,                0.37693,                0.30793,                0.27748,                0.12065,                 2.2235,                 5.0199,                 2.5461,               0.009208,               0.009208,               0.009208
                      6,                 2.2167,                 2.1554,                 2.3542,                0.60607,                0.47028,                 0.5204,                0.28561,                 1.8432,                 1.9373,                 2.1413,                0.00901,                0.00901,                0.00901
                      7,                 2.0056,                 1.9447,                 2.1462,                0.73947,                0.49019,                0.54819,                0.31146,                 1.7052,                 1.8419,                 1.9997,               0.008812,               0.008812,               0.008812
                      8,                 1.8702,                 1.7491,                 2.0487,                0.69953,                0.54363,                0.57003,                0.32734,                 1.6234,                 1.7603,                 1.9143,               0.008614,               0.008614,               0.008614
                      9,                 1.7953,                 1.7071,                 1.9576,                0.77965,                 0.4962,                0.58405,                0.35234,                 1.6511,                 1.6395,                 1.9295,               0.008416,               0.008416,               0.008416
                     10,                 1.7418,                  1.655,                 1.9257,                0.62897,                0.50599,                0.56841,                 0.3153,                 1.7199,                 2.4861,                 2.0063,               0.008218,               0.008218,               0.008218
                     11,                 1.6773,                 1.5386,                 1.8562,                0.82915,                0.60168,                0.67232,                0.42975,                 1.4973,                 1.3588,                 1.7873,                0.00802,                0.00802,                0.00802
                     12,                  1.598,                  1.444,                 1.7992,                0.68795,                0.49482,                0.51919,                0.33444,                 1.4762,                 1.9076,                 1.7546,               0.007822,               0.007822,               0.007822
                     13,                 1.5905,                 1.4193,                 1.7674,                0.89459,                0.61423,                0.72385,                0.49598,                 1.2718,                 1.2469,                 1.5929,               0.007624,               0.007624,               0.007624
                     14,                 1.5323,                 1.3346,                 1.7018,                0.90786,                0.63818,                0.75929,                0.50058,                 1.2996,                 1.1339,                  1.602,               0.007426,               0.007426,               0.007426
                     15,                 1.5103,                 1.3449,                 1.6961,                0.87533,                0.67283,                0.76111,                0.50879,                 1.3093,                 1.1711,                 1.6179,               0.007228,               0.007228,               0.007228
                     16,                 1.4747,                 1.2959,                 1.6478,                0.87833,                0.69635,                0.77325,                0.52567,                 1.2287,                   1.09,                 1.5373,                0.00703,                0.00703,                0.00703
                     17,                 1.4271,                 1.2343,                 1.6132,                0.85535,                0.69021,                0.77115,                0.53018,                 1.2126,                 1.0375,                 1.4989,               0.006832,               0.006832,               0.006832
                     18,                 1.4198,                  1.222,                 1.6158,                0.91732,                0.68145,                0.78717,                0.54401,                  1.167,                 1.0205,                 1.4878,               0.006634,               0.006634,               0.006634
                     19,                 1.3937,                 1.1901,                 1.5789,                0.88174,                0.71286,                0.80421,                0.55758,                 1.1493,                 1.0061,                 1.4522,               0.006436,               0.006436,               0.006436
                     20,                 1.3796,                 1.1551,                 1.5528,                 0.8897,                0.72703,                 0.7989,                0.56054,                 1.1698,                0.97827,                 1.4698,               0.006238,               0.006238,               0.006238
                     21,                 1.3792,                 1.1917,                 1.5822,                0.94188,                0.70765,                0.80312,                0.57012,                 1.1366,                0.92778,                   1.46,                0.00604,                0.00604,                0.00604
                     22,                  1.321,                  1.091,                 1.5174,                0.92209,                0.72475,                0.81706,                0.59038,                 1.0733,                0.92721,                 1.4039,               0.005842,               0.005842,               0.005842
                     23,                 1.3009,                 1.0775,                 1.5041,                0.91435,                0.72673,                0.82067,                 0.5844,                 1.1352,                0.96694,                 1.4245,               0.005644,               0.005644,               0.005644
                     24,                 1.2806,                 1.0549,                 1.4934,                0.95864,                0.73714,                0.83214,                0.58827,                 1.0961,                0.84522,                  1.395,               0.005446,               0.005446,               0.005446
                     25,                 1.2777,                 1.0214,                 1.4603,                0.94493,                0.73733,                 0.8278,                0.59374,                 1.1036,                0.84658,                 1.4002,               0.005248,               0.005248,               0.005248
                     26,                 1.2727,                 1.0401,                  1.466,                0.94529,                0.73937,                0.83513,                 0.6036,                 1.0882,                0.83363,                 1.3868,                0.00505,                0.00505,                0.00505
                     27,                 1.2186,                 1.0039,                 1.4491,                0.92218,                0.75678,                 0.8343,                0.60896,                 1.0707,                0.82624,                   1.37,               0.004852,               0.004852,               0.004852
                     28,                 1.2099,                0.98377,                 1.4448,                0.94104,                0.76235,                0.82765,                0.59032,                 1.0831,                0.80346,                 1.3901,               0.004654,               0.004654,               0.004654
                     29,                 1.2303,                0.98771,                 1.4405,                0.95373,                0.77522,                0.84464,                0.61555,                 1.0223,                 0.7632,                 1.3183,               0.004456,               0.004456,               0.004456
                     30,                 1.1735,                0.93256,                  1.411,                0.93512,                0.77873,                0.85894,                0.63871,                0.98308,                0.73927,                 1.3022,               0.004258,               0.004258,               0.004258
                     31,                 1.2193,                0.96122,                 1.4354,                0.93701,                0.75957,                0.83763,                 0.6211,                 1.0091,                0.78226,                 1.3116,                0.00406,                0.00406,                0.00406
                     32,                 1.1706,                0.92155,                 1.4063,                0.94827,                0.74968,                0.85046,                0.62158,                 1.0067,                0.74023,                  1.315,               0.003862,               0.003862,               0.003862
                     33,                 1.1885,                0.91964,                 1.3974,                0.96477,                0.76498,                0.86371,                0.62819,                 0.9899,                0.71286,                 1.2986,               0.003664,               0.003664,               0.003664
                     34,                 1.1516,                0.89286,                 1.3643,                 0.9573,                0.77655,                0.85911,                0.63931,                0.98133,                0.72207,                 1.2898,               0.003466,               0.003466,               0.003466
                     35,                 1.1271,                0.87866,                 1.3494,                0.96762,                 0.7829,                0.87728,                0.64854,                0.97448,                0.72046,                   1.28,               0.003268,               0.003268,               0.003268
                     36,                 1.1161,                 0.8579,                 1.3192,                0.94932,                0.79544,                0.87225,                0.64729,                 0.9412,                0.70625,                 1.2506,                0.00307,                0.00307,                0.00307
                     37,                  1.119,                 0.8624,                 1.3641,                0.96254,                0.78913,                 0.8711,                0.65047,                0.94009,                0.69185,                 1.2553,               0.002872,               0.002872,               0.002872
                     38,                 1.1051,                0.83885,                 1.3439,                0.96071,                0.79598,                0.88572,                0.66451,                0.92476,                0.67041,                 1.2459,               0.002674,               0.002674,               0.002674
                     39,                 1.0829,                0.81735,                 1.3105,                0.95875,                0.79535,                 0.8808,                0.65721,                  0.907,                 0.6581,                 1.2358,               0.002476,               0.002476,               0.002476
                     40,                 1.1064,                0.83499,                 1.3404,                0.95852,                0.79115,                0.87654,                0.65975,                0.90006,                0.66855,                 1.2306,               0.002278,               0.002278,               0.002278
                     41,                 1.0879,                0.82064,                 1.3247,                0.96911,                0.80235,                0.88357,                 0.6628,                0.90999,                0.63844,                  1.227,                0.00208,                0.00208,                0.00208
                     42,                  1.055,                0.79959,                 1.3174,                0.95792,                0.80417,                0.87908,                0.65421,                0.92452,                0.65002,                 1.2526,               0.001882,               0.001882,               0.001882
                     43,                 1.0634,                0.79137,                 1.3053,                0.97954,                0.79258,                0.88725,                0.66617,                0.90228,                0.65118,                 1.2328,               0.001684,               0.001684,               0.001684
                     44,                 1.0593,                 0.7619,                 1.2898,                 0.9546,                0.80631,                0.88428,                0.67046,                0.89116,                0.62825,                 1.2285,               0.001486,               0.001486,               0.001486
                     45,                 1.0596,                0.78252,                 1.3148,                0.96143,                 0.8041,                0.88869,                0.66686,                 0.9018,                0.62347,                 1.2247,               0.001288,               0.001288,               0.001288
                     46,                 1.0294,                0.77137,                 1.2747,                0.97082,                0.79894,                0.88787,                0.66769,                 0.8849,                0.60936,                 1.2107,                0.00109,                0.00109,                0.00109
                     47,                 1.0299,                0.75599,                 1.2831,                0.97529,                0.79759,                0.89318,                0.67028,                0.89119,                 0.6302,                 1.2106,               0.000892,               0.000892,               0.000892
                     48,                 1.0222,                 0.7427,                 1.2682,                0.95778,                 0.8179,                0.89323,                 0.6708,                0.87678,                0.60751,                 1.2087,               0.000694,               0.000694,               0.000694
                     49,                 1.0344,                0.76871,                 1.2731,                 0.9631,                0.82384,                0.89968,                0.68189,                0.87256,                0.60243,                 1.2009,               0.000496,               0.000496,               0.000496
