                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8691,                 4.6737,                  4.176,                0.00062,                0.02535,                0.00044,                0.00019,                 3.6871,                  4.486,                 3.9481,               0.070319,              0.0032979,              0.0032979
                      1,                 3.3261,                 3.7916,                 3.7227,                0.54536,                0.06605,                 0.0191,                0.00681,                 2.8054,                 7.5795,                 3.5136,               0.040188,              0.0064999,              0.0064999
                      2,                 2.8618,                 3.2664,                 3.0852,                0.18247,                0.17263,                0.05893,                0.01778,                 2.5564,                 22.062,                 2.8754,              0.0099246,              0.0095699,              0.0095699
                      3,                 2.5473,                 2.6685,                 2.6665,                0.42699,                0.28836,                0.17482,                0.07585,                 2.1636,                 4.4102,                 2.4712,               0.009406,               0.009406,               0.009406
                      4,                 2.2171,                 2.2255,                 2.3018,                 0.4894,                0.39618,                0.41319,                0.20298,                 1.8532,                 2.2123,                 2.1403,               0.009406,               0.009406,               0.009406
                      5,                 2.0095,                 1.9715,                  2.078,                0.60397,                0.45251,                0.47492,                0.25376,                 1.6536,                 2.5405,                 1.8861,               0.009208,               0.009208,               0.009208
                      6,                 1.8044,                 1.7356,                 1.8987,                0.73503,                0.52691,                0.59672,                0.36747,                  1.457,                 1.5566,                 1.7242,                0.00901,                0.00901,                0.00901
                      7,                 1.7076,                 1.6418,                 1.8263,                0.76712,                0.55028,                0.62737,                0.39942,                 1.4915,                 1.3791,                  1.745,               0.008812,               0.008812,               0.008812
                      8,                 1.6151,                 1.5081,                 1.7324,                0.80929,                0.56438,                 0.6533,                0.40809,                 1.4285,                 1.4503,                 1.6401,               0.008614,               0.008614,               0.008614
                      9,                 1.5776,                 1.4656,                 1.7034,                0.76792,                 0.5756,                0.64283,                0.41121,                 1.3981,                 1.5808,                 1.6193,               0.008416,               0.008416,               0.008416
