                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8489,                  4.886,                 4.2838,                0.00029,                0.06118,                0.00023,                  9e-05,                 3.6029,                 4.8835,                  4.082,               0.070789,              0.0032456,              0.0032456
                      1,                  3.786,                 4.4723,                 4.1025,                0.00028,                0.01266,                0.00016,                  7e-05,                 3.5959,                 4.7127,                 4.0188,               0.040659,              0.0064487,              0.0064487
                      2,                 3.4766,                 4.1846,                   3.93,                0.00054,                0.02532,                0.00029,                 0.0001,                 3.5611,                 4.6518,                 4.0038,               0.010397,              0.0095198,              0.0095198
                      3,                 3.1337,                 3.8891,                 3.5263,                0.01586,                0.29954,                0.01098,                0.00452,                 2.9769,                 187.33,                 4.8111,               0.009406,               0.009406,               0.009406
                      4,                  2.956,                 3.4599,                  3.223,                0.08827,                0.25726,                0.02851,                0.01087,                 2.8673,                 76.734,                 3.9763,               0.009406,               0.009406,               0.009406
                      5,                 2.7742,                 3.1362,                 2.9874,                0.10069,                0.27134,                0.07251,                0.02228,                  3.071,                 35.463,                 4.3868,               0.009208,               0.009208,               0.009208
                      6,                 2.6509,                  2.999,                 2.8011,                0.06078,                 0.4207,                0.08989,                0.04074,                 2.4381,                 92.268,                 3.5958,                0.00901,                0.00901,                0.00901
                      7,                 2.4383,                 2.6334,                  2.609,                0.42706,                0.31557,                0.31769,                0.15234,                 2.1172,                  3.678,                 2.4857,               0.008812,               0.008812,               0.008812
                      8,                 2.3129,                 2.3921,                 2.4763,                0.49705,                0.35161,                0.33515,                0.13886,                 2.2728,                 2.8423,                 2.5086,               0.008614,               0.008614,               0.008614
                      9,                 2.1965,                 2.2329,                 2.4126,                0.67722,                0.29417,                0.40178,                0.21938,                 1.9442,                 5.4986,                 2.2593,               0.008416,               0.008416,               0.008416
                     10,                 2.1384,                   2.16,                 2.2841,                0.65994,                0.45525,                0.48818,                0.27245,                 1.8066,                 2.5488,                 2.1213,               0.008218,               0.008218,               0.008218
                     11,                 2.0082,                 2.0009,                 2.1951,                0.49038,                0.42722,                0.43157,                0.23532,                 1.7848,                  2.138,                 2.0606,                0.00802,                0.00802,                0.00802
                     12,                 1.9544,                 1.8712,                 2.1457,                0.69412,                0.54377,                0.56423,                0.33645,                 1.7394,                 1.8297,                 2.0333,               0.007822,               0.007822,               0.007822
                     13,                 1.8638,                 1.7363,                 2.0152,                0.67118,                0.55347,                0.59932,                0.36479,                 1.6275,                 1.6663,                 1.9325,               0.007624,               0.007624,               0.007624
                     14,                 1.7987,                 1.7666,                 2.0127,                0.75698,                0.54523,                0.60495,                0.37896,                 1.6252,                 1.5866,                 1.9114,               0.007426,               0.007426,               0.007426
                     15,                 1.7268,                 1.6209,                 1.9238,                0.71986,                0.59321,                0.63111,                0.38505,                 1.6468,                 1.4819,                 1.9326,               0.007228,               0.007228,               0.007228
                     16,                 1.6875,                 1.5446,                 1.8838,                 0.8273,                0.60081,                0.66054,                0.41151,                 1.5139,                 1.5082,                   1.81,                0.00703,                0.00703,                0.00703
                     17,                 1.6408,                 1.5174,                 1.8517,                0.80489,                0.57977,                0.64974,                0.42899,                 1.4574,                 1.4062,                  1.767,               0.006832,               0.006832,               0.006832
                     18,                  1.574,                 1.4495,                 1.7934,                0.88016,                0.58942,                0.68328,                 0.4523,                 1.4562,                 1.3328,                 1.7711,               0.006634,               0.006634,               0.006634
                     19,                 1.5421,                 1.4224,                 1.7904,                0.74361,                0.55541,                0.64969,                0.42611,                 1.4708,                 1.4373,                 1.7353,               0.006436,               0.006436,               0.006436
