                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7207,                 4.7119,                 4.3132,                0.00054,                  0.135,                0.00159,                0.00073,                  3.322,                 4.7306,                 4.1196,                 0.0838,                 0.0018,                 0.0018
                      1,                 3.7814,                 4.5674,                  4.237,                0.00061,                   0.15,                0.00194,                0.00089,                 3.3366,                 4.6585,                 4.0984,               0.066627,              0.0036267,              0.0036267
                      2,                 3.6904,                 4.3077,                 4.1295,                 0.0006,                   0.15,                0.00188,                0.00075,                 3.3543,                 4.6019,                 4.0742,               0.049378,              0.0053782,              0.0053782
                      3,                 3.6269,                  4.143,                 4.0434,                0.00112,                   0.06,                0.00173,                0.00078,                 3.3612,                 4.5688,                 4.0649,               0.032054,              0.0070545,              0.0070545
                      4,                 3.3453,                 3.9347,                  3.912,                0.00121,                  0.065,                0.00166,                0.00081,                 3.3587,                    4.5,                 4.0624,               0.014656,              0.0086555,              0.0086555
                      5,                 3.1247,                  3.715,                 3.6088,                0.00304,                0.40404,                0.04284,                0.01376,                 2.9588,                 3.9533,                 3.7448,                0.00901,                0.00901,                0.00901
                      6,                 3.0214,                 3.4334,                 3.4227,                0.09487,                0.06742,                0.02861,                0.00982,                 2.9769,                 4.8709,                 3.9793,                0.00901,                0.00901,                0.00901
                      7,                 2.9668,                 3.1541,                  3.223,                0.53704,                0.10112,                0.01467,                0.00618,                 2.8602,                 251.41,                 5.3326,               0.008812,               0.008812,               0.008812
                      8,                 2.7141,                 2.9791,                 3.0052,                0.54545,                0.07865,                0.03211,                0.01612,                 2.7048,                  129.2,                 5.8977,               0.008614,               0.008614,               0.008614
                      9,                 2.5674,                 2.8364,                 2.9129,                0.70922,                0.17416,                  0.176,                0.08314,                 2.4278,                 5.4684,                 3.6786,               0.008416,               0.008416,               0.008416
                     10,                 2.4431,                 2.6533,                 2.7304,                0.39762,                0.26781,                0.19356,                 0.0805,                 2.3648,                   4.65,                 3.3529,               0.008218,               0.008218,               0.008218
                     11,                 2.4019,                 2.5619,                 2.6826,                0.67544,                0.30707,                0.24993,                0.12537,                 2.0208,                  3.564,                 2.6547,                0.00802,                0.00802,                0.00802
                     12,                  2.286,                 2.3484,                  2.584,                0.39404,                0.42146,                0.36873,                0.18787,                 1.9489,                 3.6476,                 2.4918,               0.007822,               0.007822,               0.007822
