                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0758,                 5.3067,                 4.2687,                0.00016,                  0.032,                 0.0001,                  4e-05,                 3.6527,                 5.0835,                 4.0917,                 0.0838,                 0.0018,                 0.0018
                      1,                 4.0644,                 4.9187,                 4.1694,                0.00019,                  0.008,                 0.0001,                  6e-05,                 3.5985,                 4.8474,                  4.044,               0.066627,              0.0036267,              0.0036267
                      2,                 3.8418,                 4.4866,                 4.1452,                 0.0002,                  0.008,                0.00011,                  6e-05,                 3.5594,                 4.7295,                 4.0112,               0.049378,              0.0053782,              0.0053782
                      3,                 3.7426,                 4.1383,                 4.1113,                0.00018,                  0.008,                 0.0001,                  6e-05,                 3.5473,                 4.6848,                 3.9999,               0.032054,              0.0070545,              0.0070545
                      4,                  3.491,                 4.1338,                 3.9129,                0.00019,                  0.008,                 0.0001,                  5e-05,                 3.5463,                 4.6969,                 3.9999,               0.014656,              0.0086555,              0.0086555
                      5,                 3.1169,                 3.8731,                 3.6356,                0.00033,                   0.02,                0.00017,                  7e-05,                 3.4901,                 4.6687,                 3.9673,                0.00901,                0.00901,                0.00901
                      6,                 3.0589,                 3.5486,                 3.3653,                0.56704,                  0.004,                0.00263,                0.00086,                 3.0177,                  5.322,                 3.7024,                0.00901,                0.00901,                0.00901
                      7,                  2.846,                 3.4045,                 3.1993,                0.52863,                  0.084,                0.01277,                  0.005,                 2.5702,                 15.053,                 3.5964,               0.008812,               0.008812,               0.008812
                      8,                  2.808,                 3.1512,                 2.9175,                0.03809,                  0.152,                 0.0218,                0.00681,                 2.6857,                 15.428,                 3.6914,               0.008614,               0.008614,               0.008614
                      9,                 2.7351,                  3.117,                 2.8897,                0.54049,                  0.116,                0.02299,                0.00792,                 2.5456,                 5.3237,                 2.9134,               0.008416,               0.008416,               0.008416
