                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.089,                 5.3013,                 4.2826,                0.00018,                0.00794,                 0.0001,                  5e-05,                 3.6695,                 5.0483,                 4.0802,                 0.0838,                 0.0018,                 0.0018
                      1,                 4.0601,                 4.8437,                  4.148,                0.00018,                0.00794,                 0.0001,                  6e-05,                 3.6009,                 4.7896,                 4.0166,               0.066627,              0.0036267,              0.0036267
                      2,                 3.8583,                 4.4692,                 4.0961,                0.00019,                0.00794,                 0.0001,                  6e-05,                 3.5423,                 4.6666,                 3.9732,               0.049378,              0.0053782,              0.0053782
                      3,                 3.8645,                  4.318,                 4.0405,                0.00018,                0.00794,                  9e-05,                  6e-05,                 3.5045,                 4.5959,                  3.941,               0.032054,              0.0070545,              0.0070545
                      4,                 3.5418,                 4.2534,                 3.9702,                0.00018,                0.00794,                  9e-05,                  5e-05,                 3.4882,                 4.5749,                 3.9286,               0.014656,              0.0086555,              0.0086555
                      5,                 3.2115,                 3.9414,                 3.7215,                0.00122,                0.06746,                0.00076,                0.00029,                  3.353,                 4.6573,                 4.0373,                0.00901,                0.00901,                0.00901
                      6,                 3.1246,                 3.7356,                 3.4757,                0.00182,                0.03175,                0.00118,                0.00046,                 3.3356,                 13.627,                  5.035,                0.00901,                0.00901,                0.00901
                      7,                 2.9755,                 3.5168,                 3.2246,                0.57819,                0.07937,                0.03107,                0.00816,                 2.9537,                 3.6101,                 3.4108,               0.008812,               0.008812,               0.008812
                      8,                 2.9337,                 3.3345,                 2.9926,                0.55341,                0.09127,                0.02852,                0.00892,                  2.672,                 8.2305,                 3.1073,               0.008614,               0.008614,               0.008614
                      9,                 2.8073,                 3.1974,                 2.9161,                0.56482,                0.07143,                0.03038,                0.00895,                 2.6227,                 9.3683,                 2.9293,               0.008416,               0.008416,               0.008416
                     10,                 2.7616,                 3.0605,                 2.8534,                0.58592,                0.11905,                0.06065,                0.01859,                 2.5856,                  3.436,                 2.6498,               0.008218,               0.008218,               0.008218
                     11,                 2.6528,                 2.9024,                 2.7104,                0.57167,                 0.1746,                0.08145,                0.03125,                 2.4844,                 15.409,                 3.0368,                0.00802,                0.00802,                0.00802
                     12,                 2.6092,                 2.6999,                 2.6359,                0.55431,                0.19048,                0.05449,                0.02014,                 2.4876,                 5.1142,                 2.6394,               0.007822,               0.007822,               0.007822
                     13,                 2.6239,                 2.6069,                 2.6343,                0.66945,                0.12698,                0.10728,                 0.0454,                   2.27,                   4.35,                 2.3681,               0.007624,               0.007624,               0.007624
                     14,                 2.4997,                 2.4417,                 2.4984,                 0.6855,                0.16852,                0.14754,                0.05429,                 2.2186,                 2.8129,                 2.3291,               0.007426,               0.007426,               0.007426
                     15,                 2.4569,                 2.2664,                 2.4416,                0.67536,                 0.2381,                0.15407,                0.06608,                 2.1219,                 2.3461,                 2.1853,               0.007228,               0.007228,               0.007228
                     16,                 2.2962,                 2.2344,                 2.3605,                0.70583,                0.23016,                0.20931,                0.10016,                 2.0068,                 1.9214,                 2.1142,                0.00703,                0.00703,                0.00703
                     17,                 2.2958,                 2.1031,                 2.2853,                0.72073,                0.23413,                0.17647,                0.07725,                  2.001,                  3.053,                 2.1098,               0.006832,               0.006832,               0.006832
                     18,                 2.2078,                 1.9957,                 2.2062,                0.71955,                0.25164,                 0.2092,                0.09503,                 1.9867,                 2.4231,                 2.0722,               0.006634,               0.006634,               0.006634
                     19,                 2.2094,                 2.0568,                 2.2193,                0.74475,                0.20635,                0.21072,                0.09119,                 1.9688,                 2.1884,                 2.1269,               0.006436,               0.006436,               0.006436
                     20,                 2.1278,                 1.8684,                 2.1066,                0.76323,                0.28175,                0.27391,                0.13369,                  1.768,                  1.744,                 1.9184,               0.006238,               0.006238,               0.006238
                     21,                 2.1305,                  1.884,                 2.0888,                0.79265,                0.28571,                0.29204,                0.14112,                 1.8267,                 1.6118,                 1.8501,                0.00604,                0.00604,                0.00604
                     22,                 1.9575,                 1.7819,                 1.9947,                0.78493,                0.29365,                0.32617,                0.16892,                 1.7643,                 1.5969,                 1.8377,               0.005842,               0.005842,               0.005842
                     23,                 2.0116,                    1.8,                 1.9963,                0.77236,                0.32143,                0.34941,                 0.1908,                 1.7327,                 1.5161,                 1.8134,               0.005644,               0.005644,               0.005644
                     24,                  1.916,                 1.6884,                 1.9375,                0.84098,                0.28175,                0.35023,                0.18351,                 1.7486,                 1.5239,                  1.815,               0.005446,               0.005446,               0.005446
                     25,                  1.888,                  1.697,                 1.8952,                0.90045,                0.27778,                0.34344,                0.17841,                 1.7884,                  1.508,                 1.8274,               0.005248,               0.005248,               0.005248
                     26,                  1.833,                 1.6322,                  1.845,                0.80814,                0.31231,                 0.3738,                0.19299,                 1.7209,                 1.4898,                  1.801,                0.00505,                0.00505,                0.00505
                     27,                 1.8187,                 1.5372,                 1.8478,                0.62414,                0.38889,                0.38566,                0.22569,                 1.6181,                 1.4383,                 1.7285,               0.004852,               0.004852,               0.004852
                     28,                 1.8307,                 1.5968,                 1.8772,                0.55695,                0.38342,                0.37061,                0.22795,                 1.5894,                 1.4646,                 1.6982,               0.004654,               0.004654,               0.004654
                     29,                 1.7894,                 1.5711,                 1.8472,                0.85234,                0.32937,                 0.3809,                0.22577,                 1.6119,                 1.4501,                 1.7144,               0.004456,               0.004456,               0.004456
                     30,                  1.747,                 1.4381,                 1.7927,                0.61715,                0.35317,                0.38765,                0.23258,                  1.558,                 1.4527,                 1.6745,               0.004258,               0.004258,               0.004258
                     31,                 1.7342,                 1.5515,                 1.7612,                0.83213,                0.33333,                0.39817,                0.24689,                 1.5147,                 1.4016,                 1.6204,                0.00406,                0.00406,                0.00406
                     32,                 1.6437,                 1.4401,                 1.7082,                0.75952,                0.36599,                0.42837,                0.25785,                 1.5994,                 1.3302,                 1.6524,               0.003862,               0.003862,               0.003862
                     33,                 1.6766,                 1.4236,                 1.7386,                0.73119,                0.42899,                0.42948,                0.26381,                 1.5225,                 1.2885,                 1.6172,               0.003664,               0.003664,               0.003664
                     34,                 1.5448,                 1.3468,                 1.6218,                0.48002,                0.39683,                 0.4233,                  0.267,                 1.5221,                 1.3547,                 1.5853,               0.003466,               0.003466,               0.003466
                     35,                 1.5739,                  1.364,                 1.6452,                 0.7034,                0.40476,                0.43105,                0.25885,                 1.5289,                 1.3135,                 1.5926,               0.003268,               0.003268,               0.003268
                     36,                 1.4957,                 1.2681,                  1.605,                0.68533,                 0.4246,                0.44934,                0.26827,                 1.4414,                 1.2826,                 1.5436,                0.00307,                0.00307,                0.00307
                     37,                 1.5875,                 1.3376,                 1.6478,                0.65017,                0.45238,                 0.4683,                0.28514,                 1.4713,                 1.2514,                 1.5603,               0.002872,               0.002872,               0.002872
                     38,                 1.4677,                 1.2373,                 1.5905,                 0.6041,                0.43651,                0.46092,                0.30728,                  1.454,                 1.2478,                 1.5327,               0.002674,               0.002674,               0.002674
                     39,                 1.5093,                 1.3264,                 1.6444,                0.90195,                0.37724,                0.48616,                 0.3105,                 1.4049,                 1.1819,                 1.4965,               0.002476,               0.002476,               0.002476
                     40,                 1.4798,                 1.2585,                 1.5805,                0.73352,                0.41846,                0.49943,                0.31484,                 1.3654,                  1.173,                 1.4803,               0.002278,               0.002278,               0.002278
                     41,                 1.4533,                 1.2768,                 1.6044,                0.75231,                0.45635,                0.47579,                0.31388,                    1.4,                 1.2242,                 1.4923,                0.00208,                0.00208,                0.00208
                     42,                 1.4617,                 1.2613,                 1.5912,                 0.7398,                0.47302,                0.48921,                0.32606,                 1.3695,                 1.1736,                 1.4665,               0.001882,               0.001882,               0.001882
                     43,                 1.4274,                 1.2136,                 1.5371,                0.76796,                0.47398,                 0.4983,                0.33054,                  1.296,                 1.1506,                 1.4529,               0.001684,               0.001684,               0.001684
                     44,                 1.4385,                 1.2113,                 1.5558,                0.75806,                0.45968,                0.50465,                0.34966,                 1.2929,                 1.0836,                 1.4139,               0.001486,               0.001486,               0.001486
                     45,                 1.3866,                 1.1424,                 1.4931,                0.70932,                0.46825,                0.50548,                0.34891,                 1.3239,                 1.0773,                 1.4154,               0.001288,               0.001288,               0.001288
                     46,                 1.4012,                 1.1927,                 1.5326,                0.91533,                0.40776,                0.51417,                0.34709,                 1.3162,                 1.0827,                 1.4041,                0.00109,                0.00109,                0.00109
                     47,                 1.3685,                 1.1811,                 1.5071,                0.64953,                0.47222,                0.52079,                0.34787,                 1.3276,                  1.107,                 1.4008,               0.000892,               0.000892,               0.000892
                     48,                 1.4299,                 1.1697,                 1.5263,                0.82078,                0.44527,                0.52377,                0.33986,                 1.2864,                 1.0719,                 1.3911,               0.000694,               0.000694,               0.000694
                     49,                 1.3669,                  1.145,                 1.4602,                0.77644,                0.46843,                0.53072,                0.35486,                 1.2711,                 1.0626,                 1.3791,               0.000496,               0.000496,               0.000496
