                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8491,                 4.8518,                 4.2713,                0.00028,                0.01266,                0.00019,                  9e-05,                  3.604,                 4.8536,                 4.0696,               0.070789,              0.0032456,              0.0032456
                      1,                 3.7338,                 4.4411,                 4.0826,                0.00028,                0.01266,                0.00017,                  9e-05,                 3.5974,                 4.6818,                 4.0023,               0.040659,              0.0064487,              0.0064487
                      2,                 3.4073,                  4.059,                 3.8504,                0.00101,                0.11366,                0.00181,                0.00065,                 3.5938,                 4.6671,                  3.943,               0.010397,              0.0095198,              0.0095198
                      3,                 3.1094,                 3.7247,                 3.4383,                0.00321,                0.12651,                0.00109,                0.00045,                 3.3098,                 442.22,                 5.1278,               0.009406,               0.009406,               0.009406
                      4,                 2.9845,                 3.3353,                 3.1582,                0.19211,                0.36255,                0.06965,                0.01976,                 2.7624,                 92.599,                 3.6289,               0.009406,               0.009406,               0.009406
                      5,                 2.6985,                 2.9743,                 2.8776,                0.28301,                 0.2293,                0.13555,                 0.0546,                 2.7928,                 12.583,                 3.7388,               0.009208,               0.009208,               0.009208
                      6,                 2.5156,                 2.7771,                 2.6739,                0.29367,                0.24419,                0.15435,                0.06395,                 2.5789,                 26.746,                 3.3844,                0.00901,                0.00901,                0.00901
                      7,                 2.3487,                  2.406,                 2.5157,                0.40565,                 0.3899,                0.34406,                0.15104,                  2.363,                 3.0909,                 2.8736,               0.008812,               0.008812,               0.008812
                      8,                 2.1855,                 2.2478,                 2.3397,                0.50097,                0.48107,                0.45295,                0.22689,                 1.9492,                 2.2327,                  2.226,               0.008614,               0.008614,               0.008614
                      9,                 2.0635,                  2.051,                 2.2914,                0.68108,                 0.4315,                0.48095,                0.24219,                 1.9617,                 2.8928,                 2.2901,               0.008416,               0.008416,               0.008416
                     10,                 2.0563,                 2.0546,                 2.2177,                 0.5183,                0.45642,                0.49355,                0.28203,                 1.8393,                 2.4664,                 2.1018,               0.008218,               0.008218,               0.008218
                     11,                 1.9417,                 1.8906,                 2.1187,                0.64018,                 0.5326,                0.57992,                0.31462,                 1.7926,                 2.9003,                 2.0697,                0.00802,                0.00802,                0.00802
                     12,                 1.8817,                 1.8004,                 2.0768,                0.62927,                 0.5242,                0.49822,                0.29407,                 1.7821,                 2.0137,                 2.0637,               0.007822,               0.007822,               0.007822
                     13,                 1.8105,                 1.6998,                 1.9768,                0.63854,                 0.5582,                0.61585,                0.38715,                 1.6387,                 1.6842,                 1.9842,               0.007624,               0.007624,               0.007624
                     14,                 1.7679,                 1.7192,                  1.976,                0.62058,                0.52182,                0.52347,                0.33897,                 1.6626,                 1.8148,                  1.954,               0.007426,               0.007426,               0.007426
                     15,                 1.6758,                 1.5583,                 1.8778,                0.66741,                0.56817,                0.60034,                0.35475,                 1.7019,                    1.6,                 1.9773,               0.007228,               0.007228,               0.007228
                     16,                 1.6931,                 1.5163,                 1.8662,                0.77937,                0.58944,                0.65422,                0.38936,                 1.5765,                 1.5698,                 1.8221,                0.00703,                0.00703,                0.00703
                     17,                 1.6147,                 1.4725,                 1.7933,                0.84409,                0.56407,                0.63723,                0.41998,                 1.4968,                 1.5724,                 1.7794,               0.006832,               0.006832,               0.006832
                     18,                 1.5608,                 1.3988,                 1.7544,                0.75213,                0.59139,                0.65706,                0.42759,                 1.5315,                 1.4991,                 1.8013,               0.006634,               0.006634,               0.006634
                     19,                  1.551,                 1.4186,                 1.7665,                0.69024,                0.60442,                0.64737,                0.41304,                 1.5271,                 1.4941,                 1.7627,               0.006436,               0.006436,               0.006436
                     20,                 1.5455,                 1.3738,                 1.7183,                0.79734,                0.54512,                0.62009,                0.41202,                 1.4968,                 1.4464,                 1.8035,               0.006238,               0.006238,               0.006238
                     21,                 1.5182,                 1.3499,                   1.74,                 0.7927,                0.62266,                0.69452,                0.47063,                 1.4303,                 1.3931,                  1.727,                0.00604,                0.00604,                0.00604
                     22,                 1.4959,                 1.2807,                 1.6726,                 0.8552,                 0.6083,                0.70791,                0.48853,                 1.3518,                 1.2174,                 1.6291,               0.005842,               0.005842,               0.005842
                     23,                  1.489,                 1.3002,                 1.6878,                0.86488,                0.63042,                0.72294,                0.48605,                 1.4008,                 1.1876,                 1.6726,               0.005644,               0.005644,               0.005644
                     24,                 1.4602,                 1.2353,                 1.6623,                 0.9114,                0.62311,                0.74495,                0.51393,                   1.32,                 1.1338,                 1.5908,               0.005446,               0.005446,               0.005446
