                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8273,                 4.8467,                 4.2811,                0.00037,                0.07806,                0.00028,                0.00012,                 3.7293,                 4.8523,                 4.0861,               0.070789,              0.0032456,              0.0032456
                      1,                  3.792,                 4.3848,                 4.0973,                 0.0004,                0.01899,                 0.0003,                0.00014,                 3.7368,                 4.6951,                 4.0249,               0.040659,              0.0064487,              0.0064487
                      2,                 3.3887,                 4.1311,                 3.8986,                0.00154,                0.09283,                0.00218,                0.00085,                 3.5544,                 4.5124,                 3.9352,               0.010397,              0.0095198,              0.0095198
                      3,                 3.1528,                  3.786,                 3.4736,                0.01215,                0.02532,                0.00624,                0.00193,                  3.122,                  457.6,                 5.2176,               0.009406,               0.009406,               0.009406
                      4,                 2.9325,                 3.2696,                 3.1182,                 0.0732,                0.31598,                0.03583,                0.01301,                 3.0054,                 152.94,                 4.7292,               0.009406,               0.009406,               0.009406
                      5,                 2.7526,                 2.9217,                 2.9035,                0.05496,                0.22743,                0.05239,                0.01904,                 2.6073,                  25.81,                 3.5074,               0.009208,               0.009208,               0.009208
                      6,                 2.6705,                 2.7509,                 2.7656,                0.06604,                0.30311,                0.03904,                0.01675,                 2.8061,                 152.64,                 3.8575,                0.00901,                0.00901,                0.00901
                      7,                 2.4407,                 2.4517,                 2.5773,                  0.438,                0.40206,                0.36669,                0.16003,                 2.1548,                 2.7834,                 2.4139,               0.008812,               0.008812,               0.008812
                      8,                 2.3228,                 2.2539,                 2.4454,                0.44571,                0.33725,                  0.351,                0.16017,                 2.1441,                 4.1729,                   2.52,               0.008614,               0.008614,               0.008614
                      9,                 2.1443,                 2.1414,                 2.3665,                0.59492,                0.39928,                0.44559,                0.22854,                 1.8681,                 2.7774,                 2.1642,               0.008416,               0.008416,               0.008416
                     10,                 2.1282,                 2.0912,                 2.2772,                0.61669,                 0.4892,                 0.5367,                0.27018,                 1.9752,                 1.9275,                 2.2066,               0.008218,               0.008218,               0.008218
                     11,                 2.0304,                 1.9472,                 2.1858,                0.67741,                0.50243,                 0.5751,                0.33051,                 1.7361,                 2.1401,                 2.0507,                0.00802,                0.00802,                0.00802
                     12,                 1.9484,                  1.896,                 2.1269,                0.65779,                0.53371,                 0.5413,                0.29635,                 1.7744,                 1.9957,                 2.0363,               0.007822,               0.007822,               0.007822
                     13,                 1.8749,                 1.7589,                 2.0157,                 0.8029,                0.56767,                0.64352,                0.37546,                 1.6945,                 1.6237,                 1.9597,               0.007624,               0.007624,               0.007624
                     14,                 1.8247,                 1.7349,                 2.0085,                0.67277,                0.51921,                0.51681,                0.33605,                 1.5915,                 1.8897,                 1.9098,               0.007426,               0.007426,               0.007426
                     15,                 1.7511,                 1.6335,                 1.9504,                0.79381,                0.60554,                  0.674,                0.44036,                  1.522,                 1.4149,                 1.8321,               0.007228,               0.007228,               0.007228
                     16,                 1.7464,                 1.6213,                 1.9389,                0.68655,                0.57372,                0.58645,                0.34403,                  1.664,                 1.7138,                 1.8928,                0.00703,                0.00703,                0.00703
                     17,                 1.6632,                  1.546,                 1.8811,                0.85348,                0.62669,                0.69455,                0.45081,                 1.5332,                 1.3692,                 1.7917,               0.006832,               0.006832,               0.006832
                     18,                 1.6525,                 1.5166,                 1.8342,                0.82733,                0.62031,                0.70528,                0.47593,                 1.4368,                 1.2741,                 1.7376,               0.006634,               0.006634,               0.006634
                     19,                 1.6085,                 1.4739,                 1.8261,                0.85024,                0.67906,                0.73173,                0.47958,                 1.3881,                 1.2809,                 1.6606,               0.006436,               0.006436,               0.006436
                     20,                 1.5787,                 1.4033,                  1.765,                0.80691,                0.66163,                0.72783,                0.48439,                 1.3292,                 1.3268,                 1.6245,               0.006238,               0.006238,               0.006238
                     21,                  1.543,                  1.385,                 1.7798,                0.84655,                0.66008,                0.73542,                0.48558,                 1.3661,                 1.3044,                 1.6612,                0.00604,                0.00604,                0.00604
                     22,                  1.506,                 1.3249,                 1.6974,                0.86508,                0.69192,                0.76176,                 0.5107,                 1.3846,                  1.145,                 1.6604,               0.005842,               0.005842,               0.005842
                     23,                   1.51,                 1.3184,                 1.7315,                0.88316,                0.65799,                0.74877,                0.50104,                 1.3329,                 1.1768,                 1.6116,               0.005644,               0.005644,               0.005644
                     24,                 1.4945,                 1.3133,                 1.6969,                0.88001,                0.66028,                0.74746,                0.50519,                 1.3074,                 1.1726,                 1.5832,               0.005446,               0.005446,               0.005446
                     25,                 1.4724,                 1.3079,                 1.6614,                0.89892,                0.70849,                0.77655,                0.51625,                 1.3313,                 1.0935,                 1.6099,               0.005248,               0.005248,               0.005248
                     26,                 1.4583,                 1.2742,                 1.6734,                 0.8875,                0.69978,                0.76527,                0.52064,                 1.2714,                 1.1195,                 1.5594,                0.00505,                0.00505,                0.00505
                     27,                 1.4416,                 1.2503,                 1.6491,                 0.9305,                0.68222,                0.78874,                0.53685,                 1.2422,                 1.0412,                 1.5366,               0.004852,               0.004852,               0.004852
                     28,                 1.4221,                 1.1925,                  1.665,                0.93595,                0.69054,                 0.7884,                0.54452,                 1.2621,                 1.0676,                  1.538,               0.004654,               0.004654,               0.004654
                     29,                 1.3872,                 1.2083,                 1.6342,                0.89052,                0.71294,                0.79483,                0.54452,                 1.2631,                 1.0313,                 1.5281,               0.004456,               0.004456,               0.004456
                     30,                 1.3839,                 1.1977,                 1.5957,                0.92338,                0.70654,                0.78945,                0.56545,                 1.1735,                 1.0091,                 1.4707,               0.004258,               0.004258,               0.004258
                     31,                 1.3845,                 1.1803,                 1.5947,                0.90721,                0.70643,                0.79246,                0.56657,                 1.1686,                 1.0277,                 1.4595,                0.00406,                0.00406,                0.00406
                     32,                 1.3431,                 1.1547,                  1.559,                0.90517,                0.72852,                0.80726,                0.57319,                 1.1675,                 1.1112,                 1.4453,               0.003862,               0.003862,               0.003862
                     33,                 1.3561,                 1.1204,                 1.5749,                0.93912,                0.71282,                0.81334,                0.56612,                 1.2154,                 0.9653,                 1.4904,               0.003664,               0.003664,               0.003664
                     34,                 1.3795,                 1.1446,                 1.5823,                0.93345,                0.72923,                 0.8228,                0.58292,                 1.1411,                0.94133,                 1.4335,               0.003466,               0.003466,               0.003466
                     35,                  1.316,                 1.0994,                 1.5275,                0.89802,                0.73506,                0.81449,                0.57513,                 1.1953,                 0.9517,                 1.4715,               0.003268,               0.003268,               0.003268
                     36,                 1.3388,                 1.1052,                 1.5123,                0.89002,                0.74842,                0.81221,                0.57402,                 1.1961,                0.94067,                 1.4667,                0.00307,                0.00307,                0.00307
                     37,                 1.3183,                 1.1092,                 1.5266,                0.89642,                0.76605,                0.82407,                0.58681,                 1.1599,                0.93404,                 1.4325,               0.002872,               0.002872,               0.002872
                     38,                 1.3052,                 1.0876,                 1.5245,                0.92967,                0.75429,                0.82709,                0.58569,                 1.1416,                0.90392,                 1.4199,               0.002674,               0.002674,               0.002674
                     39,                 1.2684,                 1.0482,                 1.4849,                0.92633,                0.74663,                0.83256,                0.59916,                 1.1204,                0.91112,                 1.4008,               0.002476,               0.002476,               0.002476
                     40,                 1.2679,                  1.047,                  1.489,                0.93463,                0.75679,                0.83856,                0.59536,                 1.1403,                 0.8768,                 1.4325,               0.002278,               0.002278,               0.002278
                     41,                 1.2395,                 1.0239,                 1.4769,                0.92232,                0.75629,                0.84017,                0.60597,                 1.1165,                0.86984,                 1.4012,                0.00208,                0.00208,                0.00208
                     42,                 1.2591,                 1.0223,                 1.4632,                0.94154,                0.74024,                0.83766,                0.60161,                  1.096,                 0.8851,                  1.366,               0.001882,               0.001882,               0.001882
                     43,                 1.2225,                0.99603,                 1.4683,                0.93579,                0.73979,                0.83754,                0.60307,                 1.1142,                0.88175,                   1.38,               0.001684,               0.001684,               0.001684
                     44,                 1.2315,                0.99348,                 1.4915,                0.92314,                0.76238,                0.83942,                0.61108,                 1.0723,                0.82663,                 1.3503,               0.001486,               0.001486,               0.001486
                     45,                 1.2244,                 0.9816,                 1.4832,                0.95422,                0.75691,                 0.8446,                0.61081,                 1.0536,                0.83439,                 1.3388,               0.001288,               0.001288,               0.001288
                     46,                 1.1975,                0.94624,                  1.446,                0.95185,                0.75343,                0.84025,                0.62484,                 1.0597,                0.83249,                 1.3473,                0.00109,                0.00109,                0.00109
                     47,                 1.1897,                0.94888,                 1.4224,                0.95951,                0.75128,                0.84034,                0.62264,                 1.0824,                0.81423,                 1.3509,               0.000892,               0.000892,               0.000892
                     48,                 1.1994,                0.96366,                 1.4278,                 0.9432,                0.76299,                0.84416,                0.62423,                 1.0429,                0.79847,                 1.3271,               0.000694,               0.000694,               0.000694
                     49,                 1.2001,                0.97929,                 1.4566,                0.95821,                0.76329,                0.84734,                0.62959,                 1.0305,                  0.791,                 1.3264,               0.000496,               0.000496,               0.000496
