                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0687,                 5.4309,                 4.3859,                0.00016,                0.03175,                 0.0001,                  4e-05,                 3.6938,                 5.1537,                 4.1112,                 0.0838,                 0.0018,                 0.0018
                      1,                 3.9654,                 4.8891,                 4.2386,                0.00018,                0.00794,                 0.0001,                  5e-05,                 3.6518,                 4.9334,                 4.0803,               0.066627,              0.0036267,              0.0036267
                      2,                 3.6845,                   4.25,                 4.1811,                0.00018,                0.00794,                 0.0001,                  5e-05,                 3.6309,                 4.8475,                 4.0683,               0.049378,              0.0053782,              0.0053782
                      3,                 3.4515,                 3.9143,                 3.9537,                0.00018,                0.00794,                  9e-05,                  5e-05,                 3.6302,                 4.8486,                 4.0716,               0.032054,              0.0070545,              0.0070545
                      4,                 3.2155,                 4.0777,                 3.6805,                0.00018,                0.00794,                  9e-05,                  6e-05,                 3.6324,                 4.8666,                  4.079,               0.014656,              0.0086555,              0.0086555
                      5,                 3.0286,                  3.579,                 3.4572,                0.00018,                0.00794,                  9e-05,                  6e-05,                 3.5999,                 4.8684,                  4.084,                0.00901,                0.00901,                0.00901
                      6,                 2.9298,                 3.2177,                  3.218,                0.53044,                0.09127,                0.01827,                0.00544,                 2.8651,                 6.2753,                 3.1923,                0.00901,                0.00901,                0.00901
                      7,                  2.789,                 3.0685,                 3.0547,                 0.6072,                 0.0873,                0.05489,                0.01645,                 2.6448,                 3.2126,                 3.2325,               0.008812,               0.008812,               0.008812
                      8,                 2.7825,                 2.9527,                 2.8038,                0.51976,                0.21825,                0.03934,                0.01113,                  2.768,                  73.29,                 4.8366,               0.008614,               0.008614,               0.008614
                      9,                 2.6505,                 2.7931,                 2.7421,                0.51983,                0.16667,                0.00779,                0.00271,                 3.1967,                 446.13,                 8.0053,               0.008416,               0.008416,               0.008416
                     10,                 2.5507,                 2.7022,                 2.6608,                0.62449,                0.19444,                0.11942,                0.04941,                 2.3987,                 3.8704,                 2.7916,               0.008218,               0.008218,               0.008218
                     11,                 2.5392,                 2.6079,                 2.5966,                0.66789,                0.14683,                0.11962,                0.04705,                 2.2858,                 3.1935,                 2.4909,                0.00802,                0.00802,                0.00802
                     12,                 2.3729,                 2.5836,                 2.4341,                 0.5766,                0.34921,                0.16231,                0.05975,                 2.2641,                 15.946,                 2.5844,               0.007822,               0.007822,               0.007822
                     13,                 2.3903,                 2.2045,                 2.4446,                0.73492,                0.21032,                0.17138,                0.07487,                 2.1784,                  2.716,                 2.2966,               0.007624,               0.007624,               0.007624
                     14,                 2.2623,                 2.0829,                 2.3333,                0.72727,                0.25133,                0.21213,                0.09856,                 2.0879,                 2.6329,                 2.2481,               0.007426,               0.007426,               0.007426
