                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0604,                  5.432,                 4.3834,                0.00014,                  0.028,                  9e-05,                  4e-05,                 3.6787,                 5.1602,                 4.1126,                 0.0838,                 0.0018,                 0.0018
                      1,                 4.0072,                  4.959,                 4.2674,                0.00018,                  0.008,                 0.0001,                  6e-05,                 3.6399,                 4.9566,                 4.0847,               0.066627,              0.0036267,              0.0036267
                      2,                 3.7799,                 4.4575,                 4.1912,                0.00019,                  0.008,                 0.0001,                  6e-05,                 3.6145,                 4.8536,                 4.0691,               0.049378,              0.0053782,              0.0053782
                      3,                 3.7032,                 4.1946,                 4.0814,                0.00018,                  0.008,                 0.0001,                  6e-05,                 3.6053,                 4.8267,                 4.0654,               0.032054,              0.0070545,              0.0070545
                      4,                 3.4553,                 4.2898,                  3.934,                0.00018,                  0.008,                  9e-05,                  6e-05,                 3.6132,                 4.8276,                  4.071,               0.014656,              0.0086555,              0.0086555
                      5,                 3.2414,                 3.9874,                  3.655,                0.00047,                  0.072,                0.00029,                  9e-05,                 3.6734,                 4.8403,                 3.9965,                0.00901,                0.00901,                0.00901
                      6,                 3.1807,                 3.6871,                 3.4257,                0.00077,                  0.136,                0.00049,                0.00016,                 3.4327,                  52.22,                 5.0425,                0.00901,                0.00901,                0.00901
                      7,                 2.9092,                 3.4756,                 3.2678,                0.00113,                   0.06,                0.00071,                0.00025,                 3.2533,                 117.89,                 6.1324,               0.008812,               0.008812,               0.008812
                      8,                 2.8187,                 3.1453,                 2.9898,                0.52202,                  0.124,                0.00889,                0.00247,                 3.4231,                 520.73,                  13.39,               0.008614,               0.008614,               0.008614
                      9,                 2.7326,                 3.1623,                 2.8842,                0.00439,                  0.196,                0.00321,                0.00106,                 2.7724,                 199.33,                  6.345,               0.008416,               0.008416,               0.008416
                     10,                 2.6826,                 2.8811,                 2.8181,                0.57696,                  0.144,                0.06275,                0.01701,                 2.7117,                 7.7906,                 3.5132,               0.008218,               0.008218,               0.008218
                     11,                 2.5505,                 2.7825,                 2.6664,                0.61852,                  0.176,                0.08892,                 0.0343,                 2.3266,                 4.8805,                 2.6189,                0.00802,                0.00802,                0.00802
                     12,                 2.4234,                  2.611,                 2.5507,                0.56443,                    0.1,                0.04918,                0.01585,                 2.5816,                 12.409,                 3.0286,               0.007822,               0.007822,               0.007822
                     13,                 2.4785,                 2.4037,                  2.543,                0.64755,                  0.192,                0.13744,                0.06197,                 2.1261,                 10.494,                  2.292,               0.007624,               0.007624,               0.007624
                     14,                  2.384,                 2.3503,                 2.4513,                0.65962,                    0.2,                0.16055,                0.06929,                 2.1553,                 3.6165,                 2.3508,               0.007426,               0.007426,               0.007426
                     15,                 2.3727,                 2.2902,                 2.4032,                0.66918,                  0.276,                0.15875,                 0.0728,                 2.0213,                 3.1129,                 2.1933,               0.007228,               0.007228,               0.007228
                     16,                 2.2606,                 2.1781,                 2.3418,                0.73194,                   0.24,                0.21444,                0.10267,                 1.9533,                  2.962,                 2.0585,                0.00703,                0.00703,                0.00703
                     17,                 2.2291,                 2.1139,                 2.2487,                0.73726,                0.26368,                0.25403,                0.11846,                 1.9863,                 2.3817,                 2.0753,               0.006832,               0.006832,               0.006832
                     18,                 2.1301,                 2.0027,                 2.2032,                0.68039,                0.23255,                0.21045,                0.09316,                   1.99,                 2.5839,                 2.0922,               0.006634,               0.006634,               0.006634
                     19,                 2.1973,                 1.9802,                 2.2289,                0.75931,                  0.248,                0.28598,                0.15071,                 1.7949,                 1.9499,                 1.9309,               0.006436,               0.006436,               0.006436
                     20,                 2.0777,                 1.8972,                 2.1085,                0.41913,                0.31981,                0.28119,                 0.1453,                 1.8953,                 1.9116,                 1.9501,               0.006238,               0.006238,               0.006238
                     21,                  2.098,                 1.8903,                   2.12,                0.78485,                  0.276,                0.32287,                0.16311,                 1.8894,                 1.7861,                 1.9876,                0.00604,                0.00604,                0.00604
                     22,                 1.9628,                 1.7925,                 2.0567,                0.82314,                  0.272,                0.36669,                0.20078,                 1.6817,                 1.7833,                 1.8624,               0.005842,               0.005842,               0.005842
                     23,                 1.9987,                 1.8612,                 2.0681,                0.78143,                    0.3,                 0.3352,                0.17354,                 1.6678,                 1.6227,                 1.8389,               0.005644,               0.005644,               0.005644
                     24,                 1.9208,                 1.7446,                 2.0153,                0.85626,                0.28751,                0.35541,                0.18945,                 1.6634,                 1.5516,                 1.8058,               0.005446,               0.005446,               0.005446
                     25,                 1.9115,                 1.7531,                 1.9855,                0.86663,                   0.24,                 0.3619,                0.19055,                 1.6554,                 1.6724,                 1.8101,               0.005248,               0.005248,               0.005248
                     26,                 1.8923,                 1.7237,                  1.943,                0.85518,                  0.292,                0.36391,                0.19396,                 1.6972,                 1.4987,                 1.8078,                0.00505,                0.00505,                0.00505
                     27,                 1.8375,                 1.6576,                 1.9524,                  0.601,                0.40858,                0.42612,                0.22642,                 1.6337,                 1.5179,                 1.8007,               0.004852,               0.004852,               0.004852
                     28,                 1.8579,                 1.6247,                  1.955,                0.72165,                0.44324,                0.45771,                0.25104,                 1.6061,                  1.488,                   1.74,               0.004654,               0.004654,               0.004654
                     29,                 1.8674,                 1.6782,                  1.967,                0.47375,                0.45258,                0.44091,                0.26844,                 1.5771,                 1.5387,                 1.7409,               0.004456,               0.004456,               0.004456
                     30,                 1.7564,                 1.5387,                 1.8623,                0.79161,                0.37943,                0.45263,                0.24263,                  1.566,                 1.4531,                 1.6706,               0.004258,               0.004258,               0.004258
                     31,                 1.7434,                 1.5986,                  1.836,                0.61572,                0.38343,                0.44113,                0.25234,                 1.4755,                 1.4129,                 1.6529,                0.00406,                0.00406,                0.00406
                     32,                 1.6888,                 1.5001,                 1.8074,                0.83546,                0.35962,                0.43909,                0.25401,                 1.5272,                 1.3466,                 1.6908,               0.003862,               0.003862,               0.003862
                     33,                 1.7605,                 1.5185,                 1.8271,                0.75423,                 0.4672,                0.48869,                0.30447,                 1.4921,                 1.3645,                 1.6519,               0.003664,               0.003664,               0.003664
                     34,                  1.616,                 1.4135,                 1.7177,                0.69676,                0.46503,                0.45719,                0.26907,                 1.4453,                 1.2886,                 1.5988,               0.003466,               0.003466,               0.003466
                     35,                 1.6262,                 1.4363,                 1.7331,                0.80213,                0.40362,                0.46387,                0.27096,                 1.4095,                 1.2574,                 1.5817,               0.003268,               0.003268,               0.003268
                     36,                 1.5734,                 1.3362,                 1.7076,                0.63602,                0.47173,                0.46951,                0.29479,                 1.3511,                 1.2135,                 1.5574,                0.00307,                0.00307,                0.00307
                     37,                 1.6475,                 1.4185,                 1.7337,                0.78655,                0.42464,                0.49211,                0.27139,                 1.4083,                  1.313,                 1.6005,               0.002872,               0.002872,               0.002872
                     38,                 1.4918,                 1.3252,                 1.6417,                0.68555,                0.47023,                0.49075,                0.31062,                 1.3772,                 1.1685,                 1.5463,               0.002674,               0.002674,               0.002674
                     39,                 1.5739,                 1.3794,                 1.7365,                0.79908,                0.48755,                0.52478,                0.32381,                  1.331,                 1.1543,                 1.5232,               0.002476,               0.002476,               0.002476
                     40,                 1.5431,                 1.3297,                 1.6631,                 0.6831,                0.49886,                0.52275,                0.30093,                 1.3115,                 1.1519,                 1.5298,               0.002278,               0.002278,               0.002278
                     41,                 1.5223,                  1.286,                 1.6827,                0.75001,                0.48286,                 0.5255,                0.32751,                 1.4105,                 1.1717,                  1.549,                0.00208,                0.00208,                0.00208
                     42,                 1.5179,                 1.3337,                 1.6941,                0.65029,                0.45124,                0.47011,                0.29555,                 1.3505,                 1.1568,                 1.5291,               0.001882,               0.001882,               0.001882
                     43,                 1.4892,                 1.2838,                 1.6135,                0.63219,                0.45019,                0.47798,                0.29956,                 1.2683,                 1.1135,                 1.4841,               0.001684,               0.001684,               0.001684
                     44,                 1.4876,                 1.2883,                 1.6315,                0.79392,                0.45318,                0.52233,                0.33073,                 1.3066,                 1.1154,                 1.4818,               0.001486,               0.001486,               0.001486
                     45,                 1.4273,                 1.1886,                 1.5532,                0.81817,                0.45105,                0.52551,                0.33705,                 1.2767,                 1.0976,                 1.4802,               0.001288,               0.001288,               0.001288
                     46,                 1.4494,                 1.2664,                  1.632,                 0.6761,                0.49886,                0.52853,                0.33978,                 1.2094,                  1.063,                 1.4508,                0.00109,                0.00109,                0.00109
