                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0653,                 5.4158,                  4.426,                0.00016,                  0.032,                 0.0001,                  4e-05,                 3.6831,                  5.212,                 4.1154,                 0.0838,                 0.0018,                 0.0018
                      1,                 4.0036,                 5.0389,                 4.2992,                0.00018,                  0.008,                 0.0001,                  6e-05,                 3.6436,                   4.99,                 4.0865,               0.066627,              0.0036267,              0.0036267
                      2,                 3.7487,                 4.5313,                  4.233,                0.00019,                  0.008,                 0.0001,                  6e-05,                 3.6158,                 4.8718,                 4.0683,               0.049378,              0.0053782,              0.0053782
                      3,                 3.6021,                 4.2586,                 4.1729,                0.00018,                  0.008,                 0.0001,                  6e-05,                 3.6037,                 4.8177,                 4.0594,               0.032054,              0.0070545,              0.0070545
                      4,                 3.3678,                 4.1959,                 3.8289,                0.00018,                  0.008,                 0.0001,                  6e-05,                 3.5911,                 4.8058,                  4.055,               0.014656,              0.0086555,              0.0086555
                      5,                 3.0098,                 4.1344,                 3.5345,                0.00073,                  0.072,                0.00044,                0.00014,                 3.2557,                 11.612,                 3.9276,                0.00901,                0.00901,                0.00901
                      6,                 3.0429,                 3.7149,                 3.3356,                0.00284,                  0.176,                0.00231,                0.00089,                 3.0097,                 10.058,                 3.6491,                0.00901,                0.00901,                0.00901
                      7,                 2.8043,                 3.3173,                 3.1266,                0.53289,                  0.064,                 0.0164,                0.00625,                 2.4723,                 9.3052,                 2.9317,               0.008812,               0.008812,               0.008812
                      8,                 2.7507,                 3.1135,                 2.8524,                 0.5073,                  0.112,                0.00549,                0.00211,                 2.5737,                 28.922,                 3.1201,               0.008614,               0.008614,               0.008614
                      9,                 2.6823,                 3.1387,                 2.8709,                0.54278,                  0.104,                0.02588,                0.00955,                 2.4323,                 9.7593,                 2.7966,               0.008416,               0.008416,               0.008416
                     10,                 2.6527,                 2.9848,                 2.7865,                0.59844,                  0.152,                0.06141,                0.02613,                  2.369,                 3.5314,                   2.54,               0.008218,               0.008218,               0.008218
                     11,                 2.5762,                 2.7879,                 2.6403,                0.61986,                   0.18,                0.09775,                0.03743,                 2.2995,                 9.1485,                 2.7357,                0.00802,                0.00802,                0.00802
                     12,                 2.4817,                 2.5837,                 2.5655,                0.71337,                 0.2144,                0.17557,                0.07508,                 2.1661,                 2.3404,                 2.4289,               0.007822,               0.007822,               0.007822
                     13,                 2.4791,                 2.3887,                 2.5377,                0.76527,                  0.232,                 0.2108,                 0.1026,                 2.0675,                  2.112,                 2.2356,               0.007624,               0.007624,               0.007624
                     14,                 2.3693,                 2.2783,                  2.434,                0.71843,                  0.248,                0.21216,                 0.1078,                 1.9961,                 2.0363,                 2.1529,               0.007426,               0.007426,               0.007426
