                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.845,                 4.8922,                 4.3026,                0.00029,                0.06144,                0.00023,                 0.0001,                  3.601,                 4.9066,                   4.09,               0.070789,              0.0032456,              0.0032456
                      1,                 3.7336,                 4.4155,                 4.1206,                0.00027,                0.01271,                0.00017,                  9e-05,                 3.5938,                 4.7286,                 4.0421,               0.040659,              0.0064487,              0.0064487
                      2,                  3.331,                 3.9753,                 3.8291,                0.00164,                0.17697,                0.00407,                  0.001,                 3.4324,                 4.5352,                 3.9628,               0.010397,              0.0095198,              0.0095198
                      3,                 3.0548,                 3.5177,                 3.3614,                0.03306,                 0.3554,                0.02052,                0.00649,                 2.8117,                 18.946,                 3.5627,               0.009406,               0.009406,               0.009406
                      4,                 2.8746,                 3.1574,                 3.0504,                0.27431,                0.31048,                0.13651,                0.05053,                 2.7291,                 30.852,                 3.8928,               0.009406,               0.009406,               0.009406
                      5,                 2.6355,                 2.7995,                 2.7777,                0.19785,                0.18282,                0.10668,                0.05542,                 2.5119,                 6.5069,                 2.8648,               0.009208,               0.009208,               0.009208
                      6,                 2.4253,                 2.5778,                 2.5572,                0.46964,                0.30447,                 0.2831,                0.13347,                 2.2444,                 3.1301,                 2.5461,                0.00901,                0.00901,                0.00901
                      7,                  2.224,                  2.286,                 2.4026,                0.41803,                0.44239,                0.37701,                 0.1845,                 2.0814,                 2.3374,                  2.355,               0.008812,               0.008812,               0.008812
                      8,                 2.1325,                 2.1093,                  2.263,                0.64327,                0.47467,                0.49902,                0.28777,                 1.7676,                 2.5856,                 2.0516,               0.008614,               0.008614,               0.008614
                      9,                 2.0339,                 1.9919,                 2.2191,                0.69597,                0.45973,                0.53588,                  0.266,                 1.8923,                 2.1288,                 2.1455,               0.008416,               0.008416,               0.008416
                     10,                  1.985,                 1.9932,                 2.1114,                0.64454,                0.52501,                0.56329,                0.29954,                 1.8398,                 2.2729,                 2.0704,               0.008218,               0.008218,               0.008218
                     11,                 1.8836,                 1.8415,                 2.0376,                0.67287,                0.49542,                0.55918,                0.28707,                 1.7919,                 1.8254,                 2.0134,                0.00802,                0.00802,                0.00802
                     12,                 1.8332,                 1.7436,                 1.9902,                0.73481,                0.54517,                 0.6105,                0.35852,                 1.6484,                 1.7426,                 1.9183,               0.007822,               0.007822,               0.007822
                     13,                 1.7837,                 1.6541,                 1.9169,                 0.8062,                0.57992,                0.65568,                0.40577,                 1.5509,                 1.4359,                 1.8051,               0.007624,               0.007624,               0.007624
                     14,                 1.7233,                 1.6526,                 1.9274,                0.77988,                0.54171,                0.60953,                0.37671,                 1.6424,                 1.7348,                 1.9158,               0.007426,               0.007426,               0.007426
                     15,                 1.6382,                 1.5176,                 1.8155,                0.67213,                0.51301,                0.57531,                0.32653,                 1.7382,                 1.7532,                 1.9514,               0.007228,               0.007228,               0.007228
                     16,                 1.6185,                 1.4534,                 1.7975,                0.80226,                0.61699,                0.69179,                 0.4309,                  1.466,                 1.3948,                 1.7037,                0.00703,                0.00703,                0.00703
                     17,                 1.5961,                 1.4187,                 1.7645,                0.84467,                0.57342,                0.66448,                0.42978,                 1.5006,                 1.4243,                 1.7346,               0.006832,               0.006832,               0.006832
                     18,                 1.5417,                 1.3501,                 1.7201,                0.88179,                0.61334,                0.72062,                0.47063,                 1.4174,                 1.2743,                 1.6408,               0.006634,               0.006634,               0.006634
                     19,                 1.4997,                  1.368,                 1.7193,                0.76625,                0.56304,                0.61025,                0.41981,                 1.3921,                 1.5745,                 1.6371,               0.006436,               0.006436,               0.006436
                     20,                 1.5088,                  1.343,                 1.6897,                0.89299,                0.65748,                0.74838,                0.49866,                 1.3871,                 1.2377,                 1.6158,               0.006238,               0.006238,               0.006238
                     21,                 1.4783,                 1.3213,                 1.6836,                0.89168,                0.61791,                 0.7182,                0.49708,                 1.3532,                  1.219,                 1.6216,                0.00604,                0.00604,                0.00604
                     22,                 1.4548,                 1.2675,                 1.6382,                0.88033,                0.62007,                0.73399,                0.50674,                 1.3617,                 1.2864,                 1.6442,               0.005842,               0.005842,               0.005842
                     23,                 1.4491,                 1.2826,                 1.6665,                0.91394,                0.67505,                0.75568,                0.50833,                 1.3285,                 1.1008,                  1.611,               0.005644,               0.005644,               0.005644
                     24,                 1.4442,                 1.2457,                 1.6462,                0.91044,                0.65599,                0.75707,                0.51404,                 1.2558,                 1.0802,                 1.5511,               0.005446,               0.005446,               0.005446
                     25,                 1.4053,                  1.219,                 1.5854,                 0.8954,                 0.6676,                0.75908,                0.52105,                  1.263,                 1.1642,                 1.5004,               0.005248,               0.005248,               0.005248
                     26,                 1.3684,                 1.1703,                  1.559,                0.88255,                0.68984,                0.77452,                0.53985,                 1.2753,                 1.0399,                 1.5147,                0.00505,                0.00505,                0.00505
                     27,                 1.3863,                 1.1757,                 1.5791,                0.87243,                0.68779,                 0.7621,                 0.5307,                 1.2686,                 1.0818,                 1.4976,               0.004852,               0.004852,               0.004852
