                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8066,                 4.8602,                 4.2991,                0.00133,                 0.0914,                0.00191,                0.00055,                 3.6728,                 4.6138,                 4.1152,                 0.0838,                 0.0018,                 0.0018
                      1,                 3.7742,                 4.6357,                 4.2105,                 0.0012,                0.06612,                0.00323,                0.00077,                 3.6689,                 4.5376,                 4.0844,               0.066627,              0.0036267,              0.0036267
                      2,                  3.823,                 4.4789,                 4.1035,                0.00131,                0.05785,                0.00242,                0.00063,                 3.6645,                 4.4818,                 4.0509,               0.049378,              0.0053782,              0.0053782
                      3,                 3.7573,                 4.3503,                 4.0521,                0.00132,                0.05785,                 0.0015,                0.00048,                 3.6709,                 4.4539,                 4.0309,               0.032054,              0.0070545,              0.0070545
                      4,                 3.4919,                 4.1311,                  3.942,                0.00218,                0.12256,                0.00228,                 0.0006,                 3.6717,                 4.3954,                 4.0256,               0.014656,              0.0086555,              0.0086555
                      5,                 3.1871,                 3.8123,                 3.7122,                0.03245,                0.00826,                0.00805,                0.00234,                 3.5347,                 4.4197,                 4.0164,                0.00901,                0.00901,                0.00901
                      6,                 3.0378,                 3.6621,                 3.4187,                0.09359,                0.04356,                0.02755,                0.00785,                 3.0362,                 5.4884,                 5.2133,                0.00901,                0.00901,                0.00901
                      7,                 2.9191,                 3.3986,                  3.261,                0.01027,                0.16704,                0.00571,                0.00075,                  3.662,                  638.5,                 20.157,               0.008812,               0.008812,               0.008812
                      8,                 2.8182,                  3.091,                 3.0144,                0.01408,                 0.1823,                0.00372,                0.00117,                 3.4392,                 1069.8,                 15.318,               0.008614,               0.008614,               0.008614
                      9,                  2.639,                 2.8926,                 2.8639,                0.05627,                0.26753,                0.09886,                0.03339,                 3.2396,                 39.588,                 9.0098,               0.008416,               0.008416,               0.008416
                     10,                 2.5108,                 2.7482,                 2.7134,                0.12263,                0.31123,                0.07382,                0.02487,                 3.0237,                 188.48,                 4.8477,               0.008218,               0.008218,               0.008218
                     11,                 2.4167,                 2.6093,                 2.5937,                 0.2476,                0.20904,                0.16013,                0.07439,                 2.6198,                  17.21,                 3.3321,                0.00802,                0.00802,                0.00802
                     12,                  2.297,                 2.3712,                 2.4384,                0.34564,                0.30617,                0.24956,                0.11289,                 2.4848,                 17.332,                 3.1441,               0.007822,               0.007822,               0.007822
                     13,                 2.1866,                 2.2049,                 2.3835,                0.35072,                0.30343,                0.27513,                0.13764,                 2.2791,                 6.6202,                  2.957,               0.007624,               0.007624,               0.007624
                     14,                 2.1178,                 2.1217,                 2.2832,                0.59108,                0.28153,                0.30388,                0.15411,                 2.3081,                 3.5659,                  2.736,               0.007426,               0.007426,               0.007426
                     15,                 2.0465,                 2.0546,                 2.2581,                0.41889,                0.40394,                0.38484,                0.20896,                 2.0397,                  2.966,                 2.3689,               0.007228,               0.007228,               0.007228
                     16,                 1.9579,                 1.8953,                 2.1451,                0.39962,                0.37263,                0.38697,                  0.185,                 2.1548,                 2.3812,                 2.4276,                0.00703,                0.00703,                0.00703
                     17,                 1.8893,                 1.8504,                 2.1256,                0.54482,                0.40807,                0.44638,                0.26511,                 1.8652,                 2.1896,                 2.2259,               0.006832,               0.006832,               0.006832
                     18,                 1.8328,                  1.706,                 2.0107,                0.61785,                0.48895,                0.51083,                0.31882,                 1.7161,                 2.9423,                 2.0466,               0.006634,               0.006634,               0.006634
                     19,                 1.7832,                 1.6991,                 2.0077,                0.51634,                0.51789,                0.45213,                0.27821,                 1.9151,                 3.3359,                 2.1427,               0.006436,               0.006436,               0.006436
                     20,                 1.7239,                  1.605,                 1.9467,                0.69752,                0.54962,                0.59893,                0.37162,                 1.6778,                 1.7059,                 1.9635,               0.006238,               0.006238,               0.006238
                     21,                 1.6994,                 1.6276,                 1.9193,                0.74906,                0.53425,                0.60845,                0.39024,                 1.6115,                 1.7676,                 1.9123,                0.00604,                0.00604,                0.00604
                     22,                 1.6498,                 1.5392,                 1.8951,                0.74309,                0.60366,                  0.666,                 0.4211,                 1.6854,                 1.5684,                 1.9649,               0.005842,               0.005842,               0.005842
                     23,                 1.6274,                 1.4841,                 1.8269,                0.73246,                0.59795,                0.65879,                0.42445,                 1.6472,                 1.6052,                 1.8707,               0.005644,               0.005644,               0.005644
                     24,                 1.6369,                 1.5292,                 1.8852,                0.67955,                0.61658,                0.61312,                0.38767,                 1.5867,                 1.7256,                 1.8773,               0.005446,               0.005446,               0.005446
                     25,                 1.5352,                 1.4039,                  1.756,                0.80213,                0.62854,                0.70328,                0.45878,                 1.5473,                 1.5052,                 1.8213,               0.005248,               0.005248,               0.005248
                     26,                 1.5252,                 1.3994,                 1.7641,                0.68104,                0.62202,                0.66857,                0.45685,                 1.5212,                 1.4437,                 1.7819,                0.00505,                0.00505,                0.00505
                     27,                  1.533,                 1.3744,                 1.7604,                0.77812,                0.60385,                0.67147,                0.42652,                 1.7042,                 1.5278,                 1.9237,               0.004852,               0.004852,               0.004852
                     28,                 1.4709,                 1.3002,                  1.695,                0.75547,                0.67377,                0.69666,                   0.47,                 1.4584,                 1.4194,                 1.7566,               0.004654,               0.004654,               0.004654
                     29,                  1.463,                 1.2939,                 1.7203,                0.78102,                0.61517,                0.69976,                0.48181,                 1.4231,                 1.3845,                 1.7162,               0.004456,               0.004456,               0.004456
                     30,                 1.4942,                 1.3088,                 1.7371,                0.79957,                0.61964,                0.71102,                0.49332,                 1.4792,                 1.3663,                 1.7607,               0.004258,               0.004258,               0.004258
                     31,                 1.4485,                 1.2488,                 1.6572,                0.84699,                0.63325,                0.74035,                0.49278,                 1.4607,                 1.2772,                 1.7493,                0.00406,                0.00406,                0.00406
                     32,                    1.4,                 1.2282,                 1.6275,                0.82881,                 0.6686,                0.74656,                0.50491,                 1.4091,                 1.2327,                 1.6812,               0.003862,               0.003862,               0.003862
                     33,                 1.4153,                 1.1993,                 1.6572,                0.91099,                0.65168,                0.77107,                0.53158,                 1.4273,                 1.2451,                 1.6814,               0.003664,               0.003664,               0.003664
                     34,                 1.3294,                 1.1118,                 1.5801,                0.82976,                0.65032,                 0.7522,                0.50311,                 1.4967,                 1.3285,                 1.7549,               0.003466,               0.003466,               0.003466
                     35,                 1.3462,                 1.1632,                 1.5916,                0.79687,                0.63871,                0.73319,                0.51097,                 1.4018,                 1.2661,                 1.6548,               0.003268,               0.003268,               0.003268
                     36,                 1.3363,                  1.168,                  1.583,                0.73946,                0.65305,                  0.715,                 0.4915,                 1.4024,                  1.347,                 1.6539,                0.00307,                0.00307,                0.00307
                     37,                 1.3382,                 1.1323,                 1.6009,                0.66575,                0.73345,                0.69376,                0.48795,                 1.3409,                 1.2364,                 1.5816,               0.002872,               0.002872,               0.002872
                     38,                   1.33,                 1.1576,                 1.5908,                0.74301,                0.62139,                0.66671,                0.46488,                 1.3236,                 1.3005,                 1.5822,               0.002674,               0.002674,               0.002674
                     39,                 1.3084,                 1.1068,                 1.5697,                0.86773,                0.70907,                0.80123,                0.56863,                 1.2909,                 1.1148,                  1.563,               0.002476,               0.002476,               0.002476
                     40,                 1.2756,                 1.0648,                 1.5093,                0.86666,                0.69822,                0.80048,                0.55646,                 1.3473,                 1.1243,                  1.619,               0.002278,               0.002278,               0.002278
                     41,                 1.3003,                 1.0552,                 1.5147,                0.87725,                0.69689,                0.80742,                0.56673,                 1.3354,                 1.1437,                  1.605,                0.00208,                0.00208,                0.00208
                     42,                 1.3101,                 1.0749,                 1.5595,                0.88118,                0.67541,                0.79029,                0.54536,                 1.3773,                 1.1968,                   1.63,               0.001882,               0.001882,               0.001882
                     43,                 1.3123,                 1.0905,                 1.5485,                0.87926,                0.71255,                0.82388,                0.57937,                 1.3499,                 1.0823,                 1.6005,               0.001684,               0.001684,               0.001684
                     44,                 1.2901,                 1.0968,                 1.5702,                0.82265,                0.73984,                 0.8097,                0.55978,                 1.4119,                 1.1192,                 1.6225,               0.001486,               0.001486,               0.001486
                     45,                 1.2827,                 1.0427,                 1.5225,                0.85449,                0.70748,                0.81787,                0.58395,                 1.3221,                 1.0537,                 1.5839,               0.001288,               0.001288,               0.001288
                     46,                 1.2691,                 1.0374,                 1.5019,                0.80959,                0.73355,                 0.8135,                0.57328,                 1.3098,                 1.0697,                  1.555,                0.00109,                0.00109,                0.00109
                     47,                  1.225,                0.99971,                 1.4838,                 0.8143,                0.74823,                0.81547,                0.58186,                 1.2825,                 1.0578,                 1.5227,               0.000892,               0.000892,               0.000892
                     48,                 1.2761,                 1.0399,                 1.5104,                0.81197,                0.77239,                 0.8341,                0.59471,                  1.285,                 1.0219,                 1.5175,               0.000694,               0.000694,               0.000694
                     49,                 1.2417,                 1.0206,                 1.5079,                0.83764,                0.75348,                0.82723,                 0.5946,                 1.2736,                 1.0161,                 1.5187,               0.000496,               0.000496,               0.000496
