                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.0776,                 5.2854,                 4.3145,                0.00018,                0.00794,                 0.0001,                  6e-05,                 3.6597,                 5.0306,                 4.0854,                 0.0838,                 0.0018,                 0.0018
                      1,                 4.0011,                 4.8255,                 4.1795,                0.00019,                0.00794,                 0.0001,                  6e-05,                 3.6011,                 4.8017,                 4.0342,               0.066627,              0.0036267,              0.0036267
                      2,                 3.7718,                 4.3863,                 4.1536,                0.00019,                0.00794,                 0.0001,                  5e-05,                 3.5579,                 4.6987,                  4.004,               0.049378,              0.0053782,              0.0053782
                      3,                 3.5643,                 4.0233,                 4.0967,                0.00018,                0.00794,                 0.0001,                  6e-05,                 3.5482,                 4.6782,                 3.9936,               0.032054,              0.0070545,              0.0070545
                      4,                  3.276,                  4.223,                 3.8452,                0.00018,                0.00794,                 0.0001,                  6e-05,                 3.5484,                 4.6916,                 3.9954,               0.014656,              0.0086555,              0.0086555
                      5,                 3.0758,                 3.6908,                 3.5363,                0.00085,                0.03968,                0.00147,                0.00032,                 3.4509,                 4.7048,                 3.9836,                0.00901,                0.00901,                0.00901
                      6,                 2.9879,                  3.324,                 3.2857,                0.50737,                0.05952,                0.00983,                0.00344,                 2.6725,                 8.7687,                 3.4885,                0.00901,                0.00901,                0.00901
                      7,                 2.8396,                 3.2537,                 3.1011,                0.50409,                0.08333,                0.00393,                0.00156,                 2.5668,                 9.7076,                 3.1612,               0.008812,               0.008812,               0.008812
                      8,                 2.7897,                  3.003,                 2.8415,                0.55176,                 0.1627,                 0.0316,                 0.0128,                 2.4733,                 27.461,                 3.1553,               0.008614,               0.008614,               0.008614
                      9,                 2.6641,                 2.8726,                 2.7735,                0.57385,                 0.0754,                0.04468,                0.01553,                 2.4047,                 2.9628,                  2.628,               0.008416,               0.008416,               0.008416
                     10,                 2.6196,                 2.7107,                 2.7334,                0.52653,                0.25794,                0.02266,                0.00945,                 2.3045,                 6.2275,                 2.4672,               0.008218,               0.008218,               0.008218
                     11,                 2.5465,                 2.5383,                 2.5786,                0.65751,                0.26984,                 0.1627,                0.06756,                 2.1994,                 3.6266,                 2.3953,                0.00802,                0.00802,                0.00802
                     12,                 2.4399,                 2.4408,                   2.49,                0.69425,                 0.2622,                0.17324,                   0.07,                 2.1701,                 3.5491,                 2.3476,               0.007822,               0.007822,               0.007822
                     13,                 2.3991,                 2.2281,                 2.4358,                0.71296,                0.28175,                 0.1967,                 0.0892,                 2.1573,                 3.0974,                 2.2045,               0.007624,               0.007624,               0.007624
                     14,                 2.2702,                 2.1097,                 2.3223,                0.75644,                0.25794,                0.23941,                0.10165,                 2.1064,                 2.1149,                 2.1785,               0.007426,               0.007426,               0.007426
                     15,                 2.2635,                  1.984,                 2.2748,                0.74579,                0.26587,                0.22181,                 0.1092,                  1.913,                 3.5188,                 2.0626,               0.007228,               0.007228,               0.007228
                     16,                 2.1965,                 1.9035,                 2.2075,                0.74832,                0.30556,                0.29998,                0.15318,                 1.9273,                  1.728,                 2.0107,                0.00703,                0.00703,                0.00703
                     17,                 2.0679,                 1.8196,                 2.1022,                0.78333,                0.30098,                0.30563,                0.16359,                  1.678,                 2.7821,                 1.8721,               0.006832,               0.006832,               0.006832
                     18,                 2.0373,                 1.7895,                 2.0625,                0.80292,                0.22222,                0.25008,                0.10398,                 2.0579,                 3.0258,                 2.1797,               0.006634,               0.006634,               0.006634
                     19,                 1.9952,                 1.7428,                 2.0507,                0.84242,                0.30159,                0.38286,                0.20858,                  1.722,                 1.6426,                 1.8908,               0.006436,               0.006436,               0.006436
                     20,                 1.9255,                 1.6212,                 1.9553,                0.60501,                0.36727,                0.40456,                0.22408,                 1.6787,                 1.5589,                 1.7725,               0.006238,               0.006238,               0.006238
                     21,                 1.8925,                 1.6652,                 1.9329,                0.84867,                0.32143,                0.41078,                0.21233,                 1.7084,                  2.009,                 1.8004,                0.00604,                0.00604,                0.00604
                     22,                 1.7959,                 1.5206,                 1.8721,                0.51545,                    0.5,                0.44081,                0.23132,                 1.6316,                  1.563,                 1.7516,               0.005842,               0.005842,               0.005842
                     23,                 1.8084,                 1.5474,                 1.8465,                 0.8726,                 0.3254,                0.44915,                0.25979,                 1.4868,                 1.4557,                 1.6603,               0.005644,               0.005644,               0.005644
                     24,                 1.7029,                 1.4543,                 1.7919,                0.51557,                0.45635,                0.44936,                0.24322,                 1.4472,                 1.4158,                 1.6619,               0.005446,               0.005446,               0.005446
                     25,                 1.7189,                 1.4701,                 1.7943,                0.56423,                0.47489,                0.44945,                0.25785,                 1.5657,                 1.3182,                 1.7208,               0.005248,               0.005248,               0.005248
                     26,                 1.6785,                 1.4258,                 1.7266,                 0.4926,                0.48921,                0.49016,                0.28416,                 1.4408,                 1.2385,                 1.6288,                0.00505,                0.00505,                0.00505
                     27,                 1.6474,                 1.3839,                 1.7491,                 0.7785,                0.44636,                 0.4789,                0.29073,                 1.4004,                 1.2732,                 1.5732,               0.004852,               0.004852,               0.004852
