                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8365,                 4.8482,                 4.2549,                0.00028,                0.01266,                 0.0002,                 0.0001,                 3.6035,                 4.8522,                 4.0698,               0.070789,              0.0032456,              0.0032456
                      1,                 3.7123,                 4.4101,                  4.061,                0.00028,                0.01266,                0.00016,                  8e-05,                 3.6007,                 4.6813,                  3.998,               0.040659,              0.0064487,              0.0064487
                      2,                 3.2913,                 4.0052,                 3.8162,                0.00373,                0.03782,                0.00152,                0.00057,                 3.4823,                 27.343,                 4.3024,               0.010397,              0.0095198,              0.0095198
                      3,                 3.0728,                 3.6993,                 3.4258,                0.00213,                 0.3519,                0.00166,                0.00059,                 3.1704,                 483.47,                 5.2442,               0.009406,               0.009406,               0.009406
                      4,                 2.8752,                 3.2898,                 3.1227,                0.10967,                0.32449,                0.06462,                0.02319,                  2.689,                 282.05,                 5.1881,               0.009406,               0.009406,               0.009406
                      5,                  2.704,                 2.8851,                 2.9012,                0.17219,                0.22505,                0.07857,                0.03924,                 2.4185,                 10.383,                 2.9731,               0.009208,               0.009208,               0.009208
                      6,                 2.5119,                 2.6908,                 2.6644,                0.12302,                0.31328,                0.15635,                0.08805,                 2.2371,                 16.536,                 2.7786,                0.00901,                0.00901,                0.00901
                      7,                 2.3354,                 2.4157,                 2.5108,                0.45796,                0.22316,                0.24799,                0.12314,                 2.2416,                 5.2637,                 2.5673,               0.008812,               0.008812,               0.008812
                      8,                 2.2125,                 2.2081,                  2.346,                0.52686,                0.42804,                0.39388,                0.18917,                 2.0477,                 2.4814,                 2.3299,               0.008614,               0.008614,               0.008614
                      9,                 2.0812,                 2.1068,                 2.2905,                0.71389,                0.48721,                0.51145,                0.27639,                 1.9563,                 2.1789,                 2.2215,               0.008416,               0.008416,               0.008416
                     10,                 2.0625,                 2.0956,                 2.2214,                0.68119,                0.49528,                0.52985,                 0.2754,                 1.8335,                 1.9339,                 2.1288,               0.008218,               0.008218,               0.008218
                     11,                 1.9462,                 1.9094,                 2.1122,                0.64144,                0.48814,                0.52683,                0.28718,                 1.7466,                 1.9656,                 2.0189,                0.00802,                0.00802,                0.00802
                     12,                 1.8778,                 1.8343,                 2.0601,                0.67099,                0.56535,                0.57529,                0.33381,                 1.7632,                 1.7305,                 2.0455,               0.007822,               0.007822,               0.007822
                     13,                 1.8388,                 1.7372,                 1.9875,                0.76368,                 0.5599,                0.61829,                0.37387,                 1.5431,                 1.6843,                  1.853,               0.007624,               0.007624,               0.007624
                     14,                 1.7816,                 1.7343,                 1.9765,                0.66532,                0.57462,                 0.6145,                0.38374,                 1.5873,                 1.6853,                 1.8637,               0.007426,               0.007426,               0.007426
                     15,                 1.6945,                 1.6171,                 1.8872,                0.75675,                0.54921,                0.63431,                0.39362,                 1.6055,                 1.5536,                 1.8768,               0.007228,               0.007228,               0.007228
                     16,                 1.6544,                 1.5399,                 1.8489,                0.79898,                0.50791,                0.61675,                0.38527,                 1.5161,                 1.6142,                 1.7944,                0.00703,                0.00703,                0.00703
                     17,                 1.6273,                 1.5084,                 1.8087,                 0.8238,                0.59999,                0.68071,                0.45756,                 1.4479,                 1.3482,                 1.7632,               0.006832,               0.006832,               0.006832
                     18,                 1.5858,                 1.4273,                   1.77,                0.89166,                0.59566,                 0.6933,                0.46403,                 1.4004,                 1.3211,                  1.688,               0.006634,               0.006634,               0.006634
                     19,                  1.543,                 1.4284,                 1.7525,                0.80122,                 0.6169,                0.69641,                0.47112,                 1.3969,                 1.3104,                 1.6933,               0.006436,               0.006436,               0.006436
                     20,                 1.5594,                 1.3868,                 1.7437,                0.87192,                0.60832,                0.71559,                 0.4828,                  1.366,                 1.2382,                 1.6745,               0.006238,               0.006238,               0.006238
                     21,                 1.5057,                 1.3695,                 1.7307,                 0.8295,                0.65894,                0.72375,                 0.4999,                 1.3305,                 1.3141,                 1.6292,                0.00604,                0.00604,                0.00604
                     22,                 1.5013,                 1.3228,                 1.6953,                0.92742,                0.61669,                0.72916,                 0.4984,                 1.3705,                 1.2795,                 1.6555,               0.005842,               0.005842,               0.005842
                     23,                 1.4723,                 1.3285,                 1.6786,                0.87041,                 0.6498,                0.73851,                0.51221,                 1.3021,                 1.1654,                 1.6055,               0.005644,               0.005644,               0.005644
                     24,                 1.4545,                 1.2592,                 1.6538,                0.83476,                0.66949,                0.73298,                0.50908,                 1.3241,                 1.1846,                 1.6079,               0.005446,               0.005446,               0.005446
                     25,                 1.4468,                 1.2597,                 1.6264,                0.87651,                 0.6884,                 0.7708,                 0.5208,                 1.3066,                 1.1407,                 1.5685,               0.005248,               0.005248,               0.005248
                     26,                 1.3978,                 1.2339,                 1.6114,                0.91682,                0.66006,                0.75812,                0.51065,                 1.2826,                  1.092,                 1.5697,                0.00505,                0.00505,                0.00505
                     27,                 1.3849,                 1.2118,                 1.5965,                0.88928,                0.68994,                0.76983,                0.54362,                 1.2553,                 1.0646,                 1.5439,               0.004852,               0.004852,               0.004852
                     28,                 1.3679,                 1.1934,                 1.5906,                0.90829,                0.67891,                0.77439,                0.53152,                 1.2645,                 1.1259,                 1.5583,               0.004654,               0.004654,               0.004654
                     29,                 1.3576,                 1.1598,                 1.5708,                0.86882,                0.71221,                 0.7801,                0.55271,                 1.2269,                 1.0831,                 1.4976,               0.004456,               0.004456,               0.004456
                     30,                 1.3538,                 1.1425,                 1.5509,                0.90548,                0.72443,                0.79131,                0.56286,                 1.2037,                 1.0439,                 1.4795,               0.004258,               0.004258,               0.004258
                     31,                  1.352,                 1.1371,                 1.5281,                0.89669,                0.72411,                0.79425,                0.56582,                 1.1848,                0.98383,                 1.4648,                0.00406,                0.00406,                0.00406
                     32,                 1.3337,                 1.1373,                 1.5203,                0.92136,                0.66943,                 0.7892,                0.56125,                 1.1871,                 1.0064,                 1.4863,               0.003862,               0.003862,               0.003862
                     33,                 1.2934,                 1.0776,                 1.5112,                0.91117,                0.68837,                0.79065,                0.56734,                 1.2154,                0.98645,                  1.474,               0.003664,               0.003664,               0.003664
                     34,                 1.3187,                 1.1222,                 1.5153,                0.91679,                 0.7278,                 0.8086,                0.58192,                 1.1413,                0.92406,                 1.4451,               0.003466,               0.003466,               0.003466
