                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7236,                 4.6396,                 4.2568,                0.00043,                0.09459,                0.00039,                0.00017,                 3.5394,                 4.9443,                 4.1586,             0.00030006,             0.00030006,             0.00030006
                      1,                 3.5839,                 4.3729,                 4.1396,                0.00042,                0.09009,                0.00037,                0.00017,                   3.51,                 4.9076,                 4.1546,             0.00060458,             0.00060458,             0.00060458
                      2,                 3.2225,                 3.9556,                 3.8512,                0.00083,                 0.1213,                0.00062,                0.00025,                 3.4434,                 4.8322,                 4.1774,             0.00089655,             0.00089655,             0.00089655
                      3,                 3.0454,                 3.6586,                 3.4326,                 0.0011,                0.10268,                0.00067,                0.00023,                 3.4022,                 4.8029,                 4.2494,               0.001176,               0.001176,               0.001176
                      4,                 2.7923,                 3.3379,                 3.0932,                0.00107,                0.14621,                0.00073,                0.00025,                 3.3003,                 4.7292,                 4.2069,              0.0014429,              0.0014429,              0.0014429
                      5,                 2.6308,                 3.0813,                 2.8493,                0.25901,                0.01659,                0.04246,                0.02084,                 3.1079,                 4.9968,                   3.71,               0.001502,               0.001502,               0.001502
                      6,                 2.5058,                 2.8551,                 2.7264,                0.25724,                0.27974,                0.19351,                0.09646,                 2.3113,                  3.437,                 2.7752,               0.001502,               0.001502,               0.001502
                      7,                 2.3543,                 2.5989,                 2.5705,                0.52737,                0.32469,                 0.3404,                0.14189,                 2.2335,                 3.2005,                 2.5562,               0.001469,               0.001469,               0.001469
                      8,                 2.3096,                 2.5103,                 2.4458,                0.34086,                0.32549,                0.31443,                0.16457,                 2.1202,                  2.749,                 2.2362,               0.001436,               0.001436,               0.001436
                      9,                 2.1655,                 2.2746,                   2.35,                0.81508,                0.22959,                0.23518,                0.12998,                 2.1728,                 3.3378,                 3.4059,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.1719,                 2.2829,                 2.4008,                0.50628,                0.55713,                0.51535,                0.29248,                 1.8895,                 2.2565,                 2.1749,              0.0013699,              0.0013699,              0.0013699
